ID,wt_a,dcp_a,m/w,log
10404,0.7866451946760216,0.6262241657660543,0.8,-0.3219280948873623
10407,0.8544490712361581,0.7703917159923608,0.9,-0.15200309344504997
10409,0.5281947352011046,0.4750330687830687,0.9,-0.15200309344504997
10411,0.7704545454545455,0.614146684428656,0.8,-0.3219280948873623
10414,0.8073375341633768,0.6229905288743609,0.77,-0.3770696490798233
10415,0.8783239266436498,0.8569820789412184,0.98,-0.029146345659516508
10418,0.5482456140350878,0.4390909670021659,0.8,-0.3219280948873623
10424,0.3990509059534081,0.2399891774891775,0.6,-0.7369655941662062
10425,0.7179223105217944,0.5487770718857647,0.76,-0.3959286763311392
10431,0.9286300727187428,0.8265994996744457,0.89,-0.16812275880832692
10432,0.5520777731087665,0.5011641141562422,0.91,-0.13606154957602837
10433,0.6641876816247456,0.5491995908281744,0.83,-0.2688167584278
10434,0.5498960498960499,0.44844783347186573,0.82,-0.2863041851566411
10437,0.7131856942853507,0.5669487307117969,0.79,-0.3400754415976217
10440,0.8294573643410853,0.5164241787910604,0.62,-0.6896598793878495
10443,0.6553842783453825,0.4917662421707075,0.75,-0.4150374992788438
10445,0.6353485079966279,0.4994693761867114,0.79,-0.3400754415976217
10446,0.6341421736158579,0.4320782192635739,0.68,-0.5563933485243852
10447,0.6706220535816949,0.5456511532585611,0.81,-0.3040061868900999
10451,0.7891005346114683,0.58690608826728,0.74,-0.4344028241457749
10454,0.8686226073996384,0.694594295376316,0.8,-0.3219280948873623
10456,0.8854910634971396,0.8576968017140442,0.97,-0.043943347587597055
10459,0.5861280487804879,0.35795087265675496,0.61,-0.7131188522118385
10460,0.6672089964931212,0.5872489435984644,0.88,-0.18442457113742744
10462,0.6880560078593209,0.4966562495874969,0.72,-0.47393118833241243
10463,0.6046778788714272,0.4309414523491132,0.71,-0.49410907027004275
10464,0.6088385205232296,0.3792993150271741,0.62,-0.6896598793878495
10466,0.6413498922548941,0.5030644066886966,0.78,-0.3584539709124763
10471,0.6244680851063831,0.4336307671024417,0.69,-0.5353317329965557
10473,0.7166247942475958,0.6102403597308488,0.85,-0.23446525363702297
10474,0.5971118834822906,0.5741847402090811,0.96,-0.058893689053568565
10481,0.7993353174603175,0.6529127683782301,0.82,-0.2863041851566411
10482,0.8442497380853545,0.6915333701047987,0.82,-0.2863041851566411
10487,0.673314090789819,0.4962371869728818,0.74,-0.4344028241457749
10492,0.8441662006255308,0.6771731224562435,0.8,-0.3219280948873623
10497,0.7613185313817912,0.617404196224149,0.81,-0.3040061868900999
10498,0.5073809523809524,0.3880733527484529,0.76,-0.3959286763311392
10499,0.5836665333866453,0.4766034327009937,0.82,-0.2863041851566411
10501,0.5076141918085286,0.3635697251809549,0.72,-0.47393118833241243
10507,0.4706957052801557,0.32505393885176026,0.69,-0.5353317329965557
10514,0.86799074825976,0.8373810615822541,0.96,-0.058893689053568565
10515,0.6711879316097591,0.4486574651694739,0.67,-0.5777669993169522
10517,0.612066628747145,0.4165808552384399,0.68,-0.5563933485243852
10518,0.6774310312364059,0.5474332992033735,0.81,-0.3040061868900999
10519,0.6249394673123486,0.44787991532490856,0.72,-0.47393118833241243
10522,0.6568444911532187,0.4516276840220502,0.69,-0.5353317329965557
10526,0.5439438553795745,0.3755179096528253,0.69,-0.5353317329965557
10530,0.6701663598621338,0.44070357833655693,0.66,-0.5994620704162712
10536,0.7241892151218576,0.6244371386222719,0.86,-0.2175914350726268
10542,0.3722805345697183,0.22537728278560595,0.61,-0.7131188522118385
10544,0.6122446358859961,0.5259410869166967,0.86,-0.2175914350726268
10545,0.5807906786961055,0.45001729505361465,0.77,-0.3770696490798233
10550,0.7174835035358452,0.5576536438828249,0.78,-0.3584539709124763
10552,0.5563800657174152,0.3775995246583482,0.68,-0.5563933485243852
10555,0.8815460335842501,0.743400777167359,0.84,-0.2515387669959645
10556,0.8301886792452831,0.7154002923483442,0.86,-0.2175914350726268
10559,0.5675129849499241,0.4143630096336216,0.73,-0.4540316308947075
10560,0.6545977423077026,0.4477298358528475,0.68,-0.5563933485243852
10561,0.5204884793852127,0.4059195783227598,0.78,-0.3584539709124763
10563,0.5882352941176471,0.5582954791261086,0.95,-0.07400058144377693
10565,0.6035714285714285,0.6115942028985507,1.01,0.014355292977070055
10566,0.8397608680627549,0.7784431137724551,0.93,-0.10469737866669322
10567,0.8426847662141779,0.6542056509798445,0.78,-0.3584539709124763
10570,0.2810507251530194,0.1463359950859951,0.52,-0.9434164716336325
10571,0.7487477382055695,0.5641252027415895,0.75,-0.4150374992788438
10573,0.6880329886539378,0.6164486921529175,0.9,-0.15200309344504997
10575,0.9442932659672854,0.8773428148370173,0.93,-0.10469737866669322
10578,0.9219330855018588,0.8030578262185892,0.87,-0.20091269392599642
10584,0.607538228735266,0.4452452332413959,0.73,-0.4540316308947075
10587,0.6468573121397321,0.4655751922100448,0.72,-0.47393118833241243
10588,0.36505376344086027,0.3599108716411885,0.99,-0.01449956969511509
10590,0.8268198886573446,0.7093601015700178,0.86,-0.2175914350726268
10591,0.6429955557325513,0.4727602817475333,0.74,-0.4344028241457749
10592,0.7456471872189493,0.5920263078939473,0.79,-0.3400754415976217
10594,0.808757435558493,0.6473467593019773,0.8,-0.3219280948873623
10595,0.8203948977359024,0.6957358848210548,0.85,-0.23446525363702297
10597,0.8660060676497668,0.7718705378391242,0.89,-0.16812275880832692
10599,0.7469567799214332,0.6176678317279534,0.83,-0.2688167584278
10601,0.6183818626361414,0.5235830062924076,0.85,-0.23446525363702297
10605,0.8810811779075391,0.7941868426709553,0.9,-0.15200309344504997
10606,0.7536287242169595,0.6006952604778693,0.8,-0.3219280948873623
10608,0.6588646864686469,0.4960141213102941,0.75,-0.4150374992788438
10610,0.7436819420067281,0.598622918738144,0.8,-0.3219280948873623
10613,0.5352345351196907,0.30148642849479673,0.56,-0.8365012677171204
10614,0.7286593589837906,0.6290866121055626,0.86,-0.2175914350726268
10615,0.2556318681318681,0.17571039550070497,0.69,-0.5353317329965557
10617,0.5567506056824021,0.40651129106590295,0.73,-0.4540316308947075
10618,0.56,0.3888888888888889,0.69,-0.5353317329965557
10625,0.3413483663138518,0.2844484629294756,0.83,-0.2688167584278
10627,0.7522316384180792,0.6334965166635285,0.84,-0.2515387669959645
10629,0.5862851767015707,0.4730762821314003,0.81,-0.3040061868900999
10633,0.7452002159462683,0.5804848302935459,0.78,-0.3584539709124763
10634,0.6494823552834603,0.5681899221647173,0.87,-0.20091269392599642
10637,0.5806790458118731,0.4161933635223988,0.72,-0.47393118833241243
10641,0.8393183147521226,0.6858219394431659,0.82,-0.2863041851566411
10642,0.7294766355140188,0.5299182576256309,0.73,-0.4540316308947075
10646,0.8825444223820926,0.7177030020454281,0.81,-0.3040061868900999
10650,0.9029562166399164,0.7040837723781814,0.78,-0.3584539709124763
10653,0.7024793388429753,0.586168285991783,0.83,-0.2688167584278
10654,0.5496092796092795,0.443109889089981,0.81,-0.3040061868900999
10658,0.6722190472988873,0.5991008105369808,0.89,-0.16812275880832692
10659,0.6939307851239669,0.6232385876867329,0.9,-0.15200309344504997
10664,0.9166666666666666,0.8258062357821491,0.9,-0.15200309344504997
10665,0.5977312390924956,0.43889287985005,0.73,-0.4540316308947075
10668,0.7939883315289307,0.6041150514494458,0.76,-0.3959286763311392
10669,0.7434597523219815,0.5561318131256953,0.75,-0.4150374992788438
10672,0.5454355262515418,0.4168451639540562,0.76,-0.3959286763311392
10673,0.4740926157697122,0.4246794871794872,0.9,-0.15200309344504997
10675,0.7910025848045429,0.5827795832047866,0.74,-0.4344028241457749
10677,0.8899285310932363,0.7394288736095479,0.83,-0.2688167584278
10698,0.7041266025641026,0.5725828452218568,0.81,-0.3040061868900999
10708,0.6163793103448276,0.4930013275027331,0.8,-0.3219280948873623
10714,0.8624626319321579,0.7577750306193698,0.88,-0.18442457113742744
10717,0.6317335281460992,0.4168316831683169,0.66,-0.5994620704162712
10718,0.6911338301576767,0.477425505149776,0.69,-0.5353317329965557
10719,0.6733017115792235,0.4491597473466313,0.67,-0.5777669993169522
10724,0.6022604271900707,0.4223846520820555,0.7,-0.5145731728297583
10725,0.5487548878370034,0.4608220114500555,0.84,-0.2515387669959645
10729,0.590435606060606,0.4065309360126917,0.69,-0.5353317329965557
10730,0.8108482609044902,0.6657738095238095,0.82,-0.2863041851566411
10731,0.7107002160376159,0.6790600176522507,0.96,-0.058893689053568565
10733,0.6095330679350122,0.44681412196349735,0.73,-0.4540316308947075
10735,0.7772889104664806,0.6909198113207546,0.89,-0.16812275880832692
10736,0.6610136452241715,0.4377824525769831,0.66,-0.5994620704162712
10738,0.6529433538015574,0.5318472698045702,0.81,-0.3040061868900999
10746,0.7802578018995929,0.6654443595620065,0.85,-0.23446525363702297
10747,0.6043478260869566,0.34417149262096025,0.57,-0.8109661756099832
10753,0.6600981125800283,0.5964119541875448,0.9,-0.15200309344504997
10758,0.4475385617209026,0.26963709642309835,0.6,-0.7369655941662062
10760,0.7522056096656451,0.6064002783655963,0.81,-0.3040061868900999
10763,0.6646199800862926,0.5434890441683919,0.82,-0.2863041851566411
10764,0.6751517226174037,0.52184721078115,0.77,-0.3770696490798233
10767,0.5028276033881416,0.27531314734865353,0.55,-0.862496476250065
10772,0.7719904085342518,0.6595306513409962,0.85,-0.23446525363702297
10774,0.7129270006868471,0.5306908026582912,0.74,-0.4344028241457749
10775,0.7170302334481441,0.5081490336303343,0.71,-0.49410907027004275
10781,0.5439655172413793,0.4386768953296253,0.81,-0.3040061868900999
10782,0.4782608695652174,0.2833416938949823,0.59,-0.7612131404128835
10784,0.8191418035534697,0.6632574082264484,0.81,-0.3040061868900999
10786,0.5285015025248614,0.4195676586187535,0.79,-0.3400754415976217
10790,0.9361491485913744,0.8915991599953602,0.95,-0.07400058144377693
10793,0.6074590661006671,0.4078467533550054,0.67,-0.5777669993169522
10797,0.7002797169922197,0.4625602838887473,0.66,-0.5994620704162712
10799,0.7359712841425596,0.500300446227963,0.68,-0.5563933485243852
10800,0.4314312736443885,0.22898308235731546,0.53,-0.9159357352115255
10803,0.686943052074631,0.4844302351684514,0.71,-0.49410907027004275
10806,0.6190383502026313,0.5165224689044874,0.83,-0.2688167584278
10807,0.7828981965760667,0.6751346343220719,0.86,-0.2175914350726268
10809,0.8059267241379311,0.6825115195169746,0.85,-0.23446525363702297
10811,0.6558305369127517,0.4026074344988492,0.61,-0.7131188522118385
10813,0.7267275842375785,0.6800366972477064,0.94,-0.08926733809708741
10814,0.8904501071683735,0.7739790978660195,0.87,-0.20091269392599642
10815,0.7611788617886179,0.6180294992883943,0.81,-0.3040061868900999
10818,0.6973002062843241,0.4965887601667064,0.71,-0.49410907027004275
10822,0.6847110816142701,0.5361230407956241,0.78,-0.3584539709124763
10825,0.8212159650863107,0.7593152428479293,0.92,-0.12029423371771177
10826,0.6912477453711088,0.5940353881278538,0.86,-0.2175914350726268
10829,0.6238092402953084,0.4608207723621961,0.74,-0.4344028241457749
10831,0.7189153439153442,0.6132038543861549,0.85,-0.23446525363702297
10833,0.7240772140341725,0.580464327205001,0.8,-0.3219280948873623
10840,0.4180645743145743,0.5190127538970241,1.24,0.3103401206121505
10843,0.8312277842330302,0.6198925162593847,0.75,-0.4150374992788438
10845,0.8143801215966164,0.71537816210635,0.88,-0.18442457113742744
10848,0.9062252706525938,0.7657410410453529,0.84,-0.2515387669959645
10849,0.4275715035423774,0.28706007442849546,0.67,-0.5777669993169522
10854,0.4532407407407407,0.34111021721641194,0.75,-0.4150374992788438
10855,0.5918146035826171,0.5376005742593002,0.91,-0.13606154957602837
10860,0.6553448907976744,0.4832947340621023,0.74,-0.4344028241457749
10861,0.8004022243818162,0.7740054319159462,0.97,-0.043943347587597055
10865,0.8597431718186186,0.6284403669724771,0.73,-0.4540316308947075
10875,0.6154190362167016,0.5121561088577931,0.83,-0.2688167584278
10878,0.5303007434839321,0.35267975239405325,0.67,-0.5777669993169522
10881,0.7592886162965056,0.6030107614336649,0.79,-0.3400754415976217
10883,0.6645122918318794,0.5336393308853529,0.8,-0.3219280948873623
10884,0.858905970748076,0.6821053661081046,0.79,-0.3400754415976217
10886,0.7977953686801906,0.616426802049747,0.77,-0.3770696490798233
10889,0.6843670348343245,0.4731967213114754,0.69,-0.5353317329965557
10893,0.4854746945898778,0.32363936860339737,0.67,-0.5777669993169522
10894,0.7584612161525166,0.6280398988318554,0.83,-0.2688167584278
10895,0.7931272314183706,0.6657339468556979,0.84,-0.2515387669959645
10902,0.6258070466703559,0.453701478531539,0.72,-0.47393118833241243
10903,0.6961167883211679,0.5369395183148765,0.77,-0.3770696490798233
10907,0.5614429262618934,0.4180372980677859,0.74,-0.4344028241457749
10911,0.6440679375852547,0.636149559529031,0.99,-0.01449956969511509
10917,0.4964279858524817,0.4614213662258925,0.93,-0.10469737866669322
10920,0.7419497240299187,0.5724188110686905,0.77,-0.3770696490798233
10927,0.743324432576769,0.573581256044676,0.77,-0.3770696490798233
10929,0.8565315827673242,0.7533618856509628,0.88,-0.18442457113742744
10931,0.6092435241709289,0.6097489374086307,1.0,0.0
10934,0.8263464679184676,0.6649822911577918,0.8,-0.3219280948873623
10936,0.6711714441548997,0.6151433885548683,0.92,-0.12029423371771177
10938,0.7521418848586756,0.5819261672350016,0.77,-0.3770696490798233
10939,0.8338696730713322,0.7231962809542476,0.87,-0.20091269392599642
10940,0.5923076385296215,0.4318473235883254,0.73,-0.4540316308947075
10941,0.5202642039532284,0.3140976969919106,0.6,-0.7369655941662062
10946,0.7230896001387805,0.67232868757259,0.93,-0.10469737866669322
10948,0.5657039461552646,0.4095553232417695,0.72,-0.47393118833241243
10951,0.5689554478558249,0.4285113107593037,0.75,-0.4150374992788438
10952,0.7463054187192117,0.6848249763481552,0.92,-0.12029423371771177
10955,0.7340933191940615,0.7106026824336684,0.97,-0.043943347587597055
10959,0.6243907657434393,0.5043393158389788,0.81,-0.3040061868900999
10960,0.5596885046003771,0.3893932735605157,0.7,-0.5145731728297583
10961,0.6073392157354256,0.4599789608052943,0.76,-0.3959286763311392
10963,0.5562137049941928,0.432744536612068,0.78,-0.3584539709124763
10966,0.7316364943656792,0.6765289397667701,0.92,-0.12029423371771177
10972,0.5479417670682731,0.4434744007102693,0.81,-0.3040061868900999
10973,0.8847601837211054,0.7329208962147118,0.83,-0.2688167584278
10974,0.4736495388669302,0.30914634146341463,0.65,-0.6214883767462702
10977,0.8362088653586629,0.7178371026881578,0.86,-0.2175914350726268
10983,0.7816611556870996,0.5431158276150589,0.69,-0.5353317329965557
10984,0.6865671641791045,0.6335565476190477,0.92,-0.12029423371771177
10985,0.6602943688435916,0.3728106988976554,0.56,-0.8365012677171204
10987,0.9086255259467042,0.7907232424080347,0.87,-0.20091269392599642
10989,0.6067500948047023,0.4056622875811068,0.67,-0.5777669993169522
10992,0.8,0.49374185136897,0.62,-0.6896598793878495
10994,0.4528163093736864,0.22038805050816132,0.49,-1.0291463456595165
10996,0.7965163109142167,0.6641899644586237,0.83,-0.2688167584278
10997,0.49300799086758,0.4243163340724316,0.86,-0.2175914350726268
10999,0.9362874677178414,0.8937031831980784,0.95,-0.07400058144377693
11000,0.7964121818940342,0.6251749726755,0.78,-0.3584539709124763
11001,0.6264869584197316,0.3663498663498663,0.58,-0.7858751946471527
11007,0.5672489402496769,0.3830170436601416,0.68,-0.5563933485243852
11008,0.8334159681442803,0.6649922856564954,0.8,-0.3219280948873623
11012,0.8135949340867374,0.6415779143212613,0.79,-0.3400754415976217
11014,0.6366417449069752,0.4978622786276118,0.78,-0.3584539709124763
11016,0.7441286954824861,0.5627801957634401,0.76,-0.3959286763311392
11019,0.7957947632901349,0.651030170499197,0.82,-0.2863041851566411
11023,0.7737026199845289,0.7453206465067779,0.96,-0.058893689053568565
11028,0.9101123595505618,0.815056550199617,0.9,-0.15200309344504997
11030,0.7776191503426162,0.6300855781720196,0.81,-0.3040061868900999
11033,0.8524220416783397,0.7338576103653243,0.86,-0.2175914350726268
11036,0.7341658032110681,0.5894618685520301,0.8,-0.3219280948873623
11038,0.6864609396719488,0.508053508053508,0.74,-0.4344028241457749
11047,0.9308168140099441,0.8411140265329184,0.9,-0.15200309344504997
11048,0.6450985201537078,0.5859669811320755,0.91,-0.13606154957602837
11049,0.7623827009383926,0.6832387523475136,0.9,-0.15200309344504997
11050,0.5811920548810241,0.5089137868002838,0.88,-0.18442457113742744
11053,0.6995329232171337,0.4032041652253921,0.58,-0.7858751946471527
11054,0.6788720677385345,0.499739873652917,0.74,-0.4344028241457749
11056,0.7526180866150322,0.5545670368582005,0.74,-0.4344028241457749
11060,0.6828143021914648,0.6633484054355517,0.97,-0.043943347587597055
11064,0.29726589010408644,0.20628163049307915,0.69,-0.5353317329965557
11069,0.6042440318302387,0.4336297760210804,0.72,-0.47393118833241243
11070,0.7309384712093439,0.4691103668764941,0.64,-0.6438561897747246
11076,0.6891269068484258,0.6187419768934532,0.9,-0.15200309344504997
11079,0.6987433862433863,0.5357346189164371,0.77,-0.3770696490798233
11096,0.6887871646120377,0.4736956259790337,0.69,-0.5353317329965557
11097,0.6755802750284663,0.4,0.59,-0.7612131404128835
11099,0.6667486977564497,0.5519605865510151,0.83,-0.2688167584278
11100,0.9105013983340546,0.8135211047827104,0.89,-0.16812275880832692
11102,0.6712144679453009,0.5929029060933845,0.88,-0.18442457113742744
11109,0.9593504759134954,0.9221796238184456,0.96,-0.058893689053568565
11111,0.6159774896011745,0.4307692307692307,0.7,-0.5145731728297583
11112,0.8518672668228717,0.7681185634655375,0.9,-0.15200309344504997
11117,0.6630704249862477,0.4405486990832765,0.66,-0.5994620704162712
11118,0.6677910052910052,0.503325229832062,0.75,-0.4150374992788438
11119,0.3928904428904429,0.3034508627156789,0.77,-0.3770696490798233
