ID,wt1,Assigned_gene_name,wt2,dcp2_1,dcp2_2,dhh1_1,dhh1_2,pat1_1,pat1_2,xrn1_1,xrn1_2
6381,0.8390557939914163,YOR367W,0.8070422535211268,0.6631366616238024,0.5575266092245311,0.4809565987599646,0.30623520126282555,0.5046343975283213,0.5920199501246883,0.7506666666666667,0.7159653465346535
6384,0.8503401360544217,YOR368W,,0.7729083665338645,0.7431906614785992,0.5882352941176471,0.54375,0.6892857142857143,0.7405660377358491,0.775,0.8172043010752689
6387,0.8272251308900523,YOR373W,0.8,0.6172839506172839,0.5687732342007435,0.618421052631579,0.4718614718614719,0.4975369458128079,0.5433526011560693,0.6347517730496454,0.654275092936803
6388,0.5819477434679335,YOR374W,0.5287804878048781,0.4156334231805929,0.35079764903442484,0.3008426613004653,0.2262129804662886,0.3411083540115798,0.37342429185822335,0.470959595959596,0.4474742959320519
6393,0.7854251012145749,YOR376W-A,0.7356321839080459,0.6255355612682091,0.5271247739602171,0.4779874213836478,0.4423076923076923,0.4870689655172414,0.5187969924812029,0.6137931034482759,0.640194489465154
6395,0.6849315068493149,YOR377W,0.6296296296296297,,0.490566037735849,,,0.4583333333333333,0.5714285714285714,0.6911764705882353,0.618421052631579
6402,0.7558139534883721,YOR381W,,0.6075949367088608,0.6065573770491803,,,,,0.7980769230769231,0.7142857142857143
6408,0.7987179487179488,YOR382W,0.7734627831715211,0.7121374865735768,0.6611751784733663,0.6445634266886326,0.4909027291812456,0.6404392959229728,0.6804951929408666,0.76,0.7185741088180112
6413,0.8266666666666667,YOR385W,0.8514644351464435,0.7928286852589641,0.6714801444043321,0.6361256544502618,0.4683026584867076,0.5949820788530465,0.6491228070175439,0.7538461538461538,0.7582644628099173
6424,0.7950481430536451,YPL274W,0.7920168067226891,0.6080586080586079,0.5337465564738292,0.4603399433427762,0.32346938775510203,0.5161725067385444,0.5627157652474108,0.7295742232451093,0.7509829619921363
6426,0.8455801104972376,YPL273W,0.8501440922190202,0.7142406062519735,0.6847560975609757,0.6733800350262698,0.5622807017543859,0.6647887323943662,0.7270400909866364,0.7922955620635278,0.7894519131334022
6428,0.8764996471418491,YPL271W,0.8869303525365434,0.8587610619469026,0.8643235071806501,0.8539648367420165,0.8276143790849673,0.8447121820615796,0.8463208685162846,0.8491939677587104,0.8741258741258742
6429,0.8561643835616438,YPL270W,0.75177304964539,0.6440677966101694,0.5935483870967742,0.7372881355932204,0.5301204819277109,0.6408450704225352,0.6370967741935484,0.7061611374407583,0.6829268292682927
6430,0.5816993464052288,YPL269W,0.56,0.4590909090909091,0.4,0.28695652173913044,0.3363636363636364,0.3548387096774194,0.4507042253521127,0.5585585585585585,0.5377358490566038
6431,0.7044854881266491,YPL268W,0.7007042253521126,0.5769230769230769,0.4069148936170213,0.360613810741688,0.2843866171003718,0.3801916932907348,0.4879725085910653,0.5873015873015873,0.6122004357298475
6433,0.6818181818181818,YPL267W,0.6923076923076923,0.4979166666666667,0.411214953271028,0.35318559556786705,0.20473251028806586,0.3352941176470588,0.44482758620689655,0.6277777777777778,0.5161290322580645
6434,0.7456492637215528,YPL266W,0.7656826568265682,0.6306068601583114,0.5819418676561534,0.6373333333333333,0.598508390304537,0.6121693121693121,0.6438213914849429,0.6944634313055366,0.6956521739130435
6436,0.6787252368647717,YPL265W,0.6856330014224751,0.549150036954915,0.4842406876790831,0.4746543778801843,0.4036617262423714,0.4812529663028002,0.5296385542168675,0.5964187327823691,0.5829145728643216
6438,0.8648180242634316,YPL262W,0.8964757709251101,0.8420245398773006,0.8005997001499251,0.8238691049085659,0.7434030937215651,0.8165548098434005,0.8385469223007064,0.8606451612903225,0.8670588235294118
6439,0.7306368330464716,YPL262W,0.7369542066027689,0.5804597701149425,0.4836065573770492,0.4763061968408263,0.3584656084656085,0.5172413793103449,0.5672990063233966,0.6903431763766961,0.653816499614495
6440,0.7674050632911392,YPL260W,0.7645875251509054,0.7616438356164383,0.6708860759493671,0.629582806573957,0.49815043156596794,0.6666666666666666,0.6608832807570978,0.7493074792243767,0.6977660972404731
6447,0.8333333333333334,YPL255W,,0.7583333333333333,0.6979166666666666,0.7004830917874396,0.5083056478405316,0.6423357664233577,0.7391304347826086,0.7586206896551724,0.8324607329842932
6448,0.5483870967741935,YPL254W,0.5284810126582279,0.43333333333333335,0.421875,0.3461538461538461,0.2669172932330827,0.3417266187050361,0.34219269102990035,0.4609571788413098,0.4040920716112532
6451,0.6526315789473685,YPL250W-A,,0.493573264781491,0.4297752808988764,,,0.34375,0.3933333333333333,0.6111111111111112,0.4903846153846154
6455,0.7849056603773585,YPL245W,0.7158273381294964,0.5632183908045977,0.546875,0.3982300884955752,0.3457943925233645,0.5074626865671642,0.5515873015873016,0.691415313225058,0.6348448687350835
6459,0.9053857350800584,YPL243W,0.9265734265734266,0.8543046357615894,0.8480902777777778,0.8330308529945554,0.8169014084507042,0.8605405405405405,0.8563049853372434,0.8935185185185185,0.8958060288335518
6466,0.63,YPL239W,0.6557377049180327,0.4375,0.4261363636363637,,,0.42028985507246375,0.5675675675675675,0.4489795918367347,0.4603174603174603
6467,0.6881908086096568,YPL239W,0.6974858069748581,0.5621944595328626,0.518574297188755,0.40898748577929467,0.2999174917491749,0.4631054775916704,0.4711580801409071,0.5707196029776674,0.5522388059701493
6469,0.63098379193366,YPL237W,0.6411282637697732,0.4852416477457022,0.4508393285371702,0.4604597701149426,0.3998802753666567,0.4432838555983141,0.4744040640875342,0.5831972233564721,0.5548443409950539
6470,0.7200811359026369,YPL235W,0.6888604353393086,0.6065259117082533,0.4959422903516682,0.4303797468354431,0.2660098522167488,0.4532224532224533,0.5152957171991842,0.6554903604358759,0.6401906274821286
6473,0.6982248520710059,YPL233W,,0.6019184652278178,0.5205479452054794,0.5388127853881278,0.4554973821989529,0.6035714285714285,0.6131386861313869,0.7220447284345048,0.638728323699422
6474,0.7727272727272727,YPL232W,0.7341772151898734,0.6290322580645161,0.5185185185185185,0.5,0.3793103448275862,0.578125,0.6402877697841727,0.7093023255813954,0.7363636363636363
6475,0.6442141623488774,YPL232W,0.6768558951965066,0.4906716417910448,0.4425612052730697,0.41600000000000004,0.31138211382113823,0.4121212121212121,0.4259259259259259,0.5448717948717948,0.513978494623656
6478,0.7770360480640854,YPL231W,0.7771786022433133,0.6321612609881783,0.5855483049498648,0.5843946713511929,0.4586701864378816,0.5901069518716577,0.6317928968763372,0.7169811320754716,0.6985780423280423
6485,0.5618556701030928,YPL229W,0.4941176470588236,0.4406528189910979,0.4033850493653032,0.3896103896103896,0.31835564053537285,0.455421686746988,0.4975845410628019,0.4805555555555556,0.401840490797546
6487,0.7281879194630873,YPL228W,0.7314049586776858,0.7110655737704918,0.5821917808219178,0.5688311688311688,0.3863636363636364,0.6080246913580247,0.6298342541436464,0.7234726688102894,0.7203166226912929
6488,0.8882950293960449,YPL226W,0.8907292385553255,0.7312886888013506,0.678760593220339,0.6087820385455991,0.5011701170117012,0.6395631067961165,0.6965342349957735,0.8212985436893204,0.7821724589210411
6490,0.5059523809523809,YPL225W,0.5097553422112109,0.4017061611374407,0.36509569870343694,0.31906680093991274,0.2594268476621418,0.3916195756477237,0.3895312171536683,0.4450426200089727,0.4302895322939865
6495,0.8137082601054482,YPL221W,0.8296089385474861,0.6971962616822429,0.7016129032258065,0.7342192691029901,0.6731107205623902,0.6879310344827586,0.7091194968553459,0.7335766423357665,0.6981519507186859
6496,0.902088772845953,YPL221W,0.9007751937984496,0.9383116883116884,0.9167523124357656,0.9248496993987976,0.9302857142857144,0.9069111424541608,0.9208400646203554,0.9028697571743928,0.909967845659164
6498,0.951970543012058,YPL220W,0.9200713118407368,0.8353147235905857,0.7798702858515494,0.7357886309047238,0.5540653813914501,0.7653655380634029,0.8101646531069989,0.9196965933625022,0.8791815524520948
6499,0.6532258064516129,YPL219W,0.4948453608247423,0.4688524590163934,0.4111111111111111,0.3273273273273273,0.2562674094707521,0.29464285714285715,0.3956834532374101,0.538860103626943,0.5243902439024389
6500,0.5368751401031159,YPL218W,0.5070976195675911,0.3977240398293029,0.3548179181437319,0.2700646633701027,0.2113863995782815,0.3370458764253514,0.34026745913818723,0.4461576722208406,0.42650550399309295
6504,0.5978947368421053,YPL215W,0.6206896551724138,0.5035765379113019,0.461864406779661,0.4593596059113301,0.3481735159817352,0.4737827715355805,0.5377358490566038,0.624,0.5504731861198738
6505,0.7017994858611826,YPL213W,0.6276276276276276,0.5538057742782152,0.4873583260680035,0.4071510957324106,0.2874251497005988,0.42892768079800503,0.5135483870967742,0.582723279648609,0.5952380952380952
6506,0.3588143525741029,YPL211W,0.34021683014971604,0.240060176230389,0.2135796658037185,0.1826171875,0.12055837563451775,0.19338277239018825,0.21793176408357576,0.3041886945912973,0.2674504041146216
6507,0.7065217391304348,YPL208W,0.6578947368421053,0.6633663366336634,0.6627906976744186,0.5529411764705883,0.4479166666666667,0.5652173913043478,0.5795454545454546,0.6886792452830188,0.6929824561403509
6508,0.9230769230769232,YPL207W,0.9084337349397592,0.8766140602582496,0.85,0.8335766423357664,0.6807297605473204,0.8317307692307693,0.8305709023941068,0.8832116788321168,0.8832772166105499
6512,0.7785588752196837,YPL204W,0.7482517482517482,0.5889781859931114,0.5355064027939465,0.4350607805502239,0.3333333333333333,0.5130499627143923,0.5678733031674208,0.6763406940063091,0.6161849710982659
6513,0.40540540540540543,YPL203W,0.4397590361445783,0.35064935064935066,0.3146853146853147,0.3247232472324723,0.1791044776119403,0.3215434083601286,0.3685800604229607,0.3698630136986301,0.2870662460567823
6515,0.91933788754598,YPL198W,0.9059131002940216,0.8646638905413444,0.8487834924545734,0.82312591866732,0.7363333333333333,0.8609865470852018,0.8631515395451801,0.8950722175021241,0.8860601744703579
6516,0.620817843866171,YPL196W,0.6084656084656085,0.4174311926605505,0.3621495327102804,0.30673316708229426,0.21386138613861386,0.31956521739130433,0.35463917525773203,0.4901960784313725,0.46867749419953597
6519,0.6298932384341637,YPL195W,0.6494845360824743,0.5849056603773585,0.5358649789029536,0.5089285714285714,0.4252873563218391,0.6265560165975104,0.5451263537906137,0.6077170418006431,0.5947521865889213
6521,0.44,YPL193W,0.4619883040935672,0.4688221709006928,0.4016913319238901,0.3727272727272728,0.2744360902255639,0.4101694915254237,0.38650306748466257,0.521311475409836,0.4796511627906977
6526,0.7571428571428571,YPL188W,0.7690476190476191,0.579,0.5731939163498099,0.4679487179487179,0.3291814946619217,0.5714285714285714,0.5690072639225182,0.6978193146417445,0.6879432624113475
6534,0.7750253807106599,YPL183W-A,0.7718599287062278,0.7170316060636085,0.667478813559322,0.6396565917911325,0.5142857142857142,0.648949595427214,0.6880010964160899,0.7529580891297136,0.7310498581272801
6535,0.4871794871794872,YPL181W,0.5,0.4274809160305344,0.4414893617021277,,0.37,0.3918918918918919,0.3970588235294117,0.38372093023255816,0.44166666666666665
6536,0.6512455516014235,YPL181W,0.6536312849162011,0.3952569169960474,0.3344709897610921,0.2554027504911591,0.2046936114732725,0.296875,0.3664383561643836,0.4307228915662651,0.410958904109589
6539,0.78125,YPL180W,0.7523364485981309,0.7078085642317379,0.6639118457300276,0.5853658536585366,0.546875,0.5910780669144982,0.6,0.6899441340782123,0.7183770883054893
6540,0.7817403708987162,YPL179W,0.7876569037656904,0.6065808297567954,0.6309859154929578,0.6223085068831627,0.5721089731377406,0.5599800895968143,0.6370331404523935,0.7223543400713437,0.6503496503496503
6543,0.6071428571428571,YPL178W,0.6071428571428571,,,,,,,0.6111111111111112,0.6363636363636364
6544,0.7291993720565149,YPL178W,0.7021068103870651,0.5695086098278035,0.5015873015873016,0.4440594059405941,0.3359415753781951,0.484423676012461,0.5239616613418531,0.6616022099447514,0.6060341058154788
6548,0.6018099547511312,YPL175W,0.6826923076923077,0.537525354969574,0.5148305084745762,0.3902439024390244,0.3945720250521921,0.528125,0.5086705202312138,0.6384839650145773,0.5945945945945946
6549,0.7868421052631579,YPL173W,0.7784431137724551,0.7234513274336283,0.6771300448430493,0.6448,0.5588697017268446,0.7077294685990339,0.7462962962962963,0.7707182320441989,0.7199017199017199
6551,0.8119205298013245,YPL170W,0.7904290429042904,0.7035541195476576,0.6812080536912751,0.7059123343527013,0.6112234580384226,0.6941112322791713,0.736949846468782,0.781010719754977,0.7724719101123596
6553,0.6093023255813953,YPL168W,0.5376344086021505,0.4065217391304348,0.3938730853391685,0.32125603864734303,0.2692307692307692,0.3877551020408163,0.3675213675213676,0.4901960784313725,0.4855233853006681
6554,0.7735849056603774,YPL166W,,0.6058558558558559,0.5402010050251256,0.4470046082949309,0.4251207729468599,0.5840336134453782,0.6016260162601627,0.6768916155419223,0.6910569105691057
6560,0.6761061946902654,YPL160W,0.6709677419354839,0.513126491646778,0.4480286738351255,0.3838383838383838,0.2419354838709677,0.4640657084188912,0.4903417533432392,0.5738327904451683,0.546981627296588
6566,0.4458762886597937,YPL157W,0.4548192771084337,0.30073349633251834,0.23863636363636365,0.26301369863013696,0.20679886685552407,0.2834008097165992,0.3170731707317073,0.4427083333333333,0.3926829268292683
6574,0.6519174041297935,YPL152W,0.6897810218978102,0.5,0.4812398042414356,0.4685908319185059,0.33646616541353386,0.3629893238434164,0.4414715719063545,0.6097046413502111,0.5443037974683544
6576,0.7264150943396226,YPL150W,0.5242718446601942,0.5512820512820513,0.4539007092198582,0.5284090909090909,0.2857142857142857,0.3482142857142857,0.5409836065573771,0.608433734939759,0.5684931506849316
6578,0.7151335311572701,YPL149W,0.700709219858156,0.5595882990249187,0.5217391304347826,0.5028901734104047,0.3939393939393939,0.4331103678929766,0.4692913385826772,0.6338797814207651,0.6110134739308729
6582,0.6118836915297092,YPL144W,0.5663824604141291,0.3721064814814815,0.34970059880239523,0.3425196850393701,0.3007874015748032,0.3708542713567839,0.4339805825242719,0.5071174377224199,0.4718256949661908
6583,0.8076869468255627,YPL143W,0.8222764613489723,0.6918709488766509,0.6275209638042671,0.5433915211970075,0.3644523577892399,0.6074302902203073,0.680059753162531,0.7218548397958222,0.7213966927224416
6586,0.7628865979381443,YPL135W,,0.5851393188854489,0.57,,,0.4772727272727273,0.6451612903225806,0.6467661691542289,0.7116279069767442
6587,0.8234295415959253,YPL135W,0.8233600000000001,0.6880909787886532,0.6445558555084201,0.5928834749158519,0.4274835583246798,0.5922231614539307,0.6417334520629266,0.7251376741172659,0.6757600657354149
6589,0.875,YPL132W,0.8631346578366446,0.7942238267148014,0.7754868270332188,0.7791878172588832,0.657917760279965,0.8093797276853253,0.8637059724349158,0.8306010928961749,0.8460698689956332
6591,0.5822633110768703,YPL131W,0.5612904875118235,0.37722657912335095,0.3123803736898071,0.26664771111742963,0.17488436772574745,0.2753548931553091,0.3449098395570069,0.4851163053084864,0.43345158323479177
6594,0.8238736102984201,YPL129W,0.8316906747536013,0.7004716981132075,0.6849397590361446,0.6646168401135288,0.52681503101058,0.6387706855791963,0.7082191780821918,0.7961346633416458,0.7653333333333333
