ID,cap,uncap,dhh1_1,Assigned_gene_name
436,988,347,0.7400749063670412,YBR183W
437,23,18,0.5609756097560976,YBR184W
440,975,925,0.5131578947368421,YBR187W
441,8995,10220,0.4681238615664845,YBR189W
443,0,2,0.0,YBR191W
444,7916,11932,0.3988311164852882,YBR191W
445,0,61,0.0,YBR191W-A
446,139,30,0.8224852071005917,YBR192W
447,148,236,0.3854166666666667,YBR194W
448,30,5,0.8571428571428571,YBR194W
454,657,512,0.5620188195038495,YBR199W
455,180,175,0.5070422535211268,YBR200W
456,80,159,0.3347280334728033,YBR201W
458,165,199,0.4532967032967033,YBR202W
460,60,28,0.6818181818181818,YBR203W
461,27,51,0.3461538461538461,YBR203W
464,862,238,0.7836363636363637,YBR205W
465,206,670,0.23515981735159816,YBR207W
468,43,33,0.5657894736842105,YBR210W
469,493,224,0.6875871687587168,YBR210W
471,235,176,0.5717761557177615,YBR212W
472,48,24,0.6666666666666666,YBR213W
473,685,338,0.6695992179863147,YBR214W
474,180,87,0.6741573033707865,YBR215W
476,112,14,0.8888888888888888,YBR217W
478,162,93,0.6352941176470588,YBR225W
479,16,8,0.6666666666666666,YBR228W
480,15,42,0.2631578947368421,YBR228W
482,31,576,0.051070840197693576,YBR230W-A
483,92,43,0.6814814814814815,YBR233W
484,199,384,0.34133790737564323,YBR233W-A
485,369,193,0.6565836298932385,YBR235W
486,24,203,0.10572687224669604,YBR237W
489,13,7,0.65,YBR242W
490,0,4,0.0,YBR242W
491,157,245,0.390547263681592,YBR242W
492,5,2,0.7142857142857143,YBR242W
493,8,9,0.4705882352941176,YBR244W
494,192,115,0.6254071661237784,YBR244W
495,90,135,0.4,YBR246W
497,2,8,0.2,YBR250W
499,402,243,0.6232558139534884,YBR251W
500,2582,589,0.8142541784925891,YBR252W
501,0,1,0.0,YBR253W
502,124,152,0.4492753623188406,YBR253W
503,94,326,0.22380952380952385,YBR255W
506,1,4,0.2,YBR257W
507,188,113,0.6245847176079734,YBR257W
508,17,43,0.2833333333333333,YBR259W
509,465,292,0.6142668428005285,YBR263W
510,192,319,0.37573385518591,YBR265W
511,184,266,0.4088888888888889,YBR267W
513,349,734,0.322253000923361,YBR268W
516,23,7,0.7666666666666667,YBR271W
517,46,145,0.2408376963350785,YBR271W
518,83,47,0.6384615384615384,YBR274W
519,195,249,0.4391891891891892,YBR278W
522,366,400,0.4778067885117494,YBR279W
526,123,607,0.1684931506849315,YBR282W
528,18,20,0.4736842105263158,YBR284W
531,62,47,0.5688073394495413,YBR285W
532,178,339,0.344294003868472,YBR286W
535,2806,996,0.7380326144134666,YBR287W
540,101,96,0.5126903553299492,YBR289W
542,766,924,0.4532544378698225,YBR290W
546,41,26,0.6119402985074627,YBR293W
548,1,0,1.0,YBR293W
552,11,9,0.55,YBR295W
553,140,124,0.5303030303030303,YBR295W
556,4,6,0.4,YBR297W
557,204,103,0.6644951140065146,YBR297W
559,2,1,0.6666666666666666,YBR299W
560,25,4,0.8620689655172413,YBR299W
565,119,244,0.3278236914600551,YCL063W
566,899,202,0.8165304268846503,YCL058W-A
567,2,8,0.2,YCL057W
568,1,7,0.125,YCL057W
569,373,847,0.3057377049180328,YCL057W
570,130,193,0.4024767801857585,YCL055W
575,1,3,0.25,YCL054W-A
576,10,35,0.2222222222222222,YCL054W-A
577,296,470,0.3864229765013055,YCL054W-A
578,431,281,0.6053370786516854,YCL054W
579,164,169,0.4924924924924925,YCL051W
583,4,4,0.5,YCL048W-A
584,18,0,1.0,YCL048W-A
585,403,200,0.6683250414593698,YCL048W-A
593,45,46,0.4945054945054945,YCL042W
594,1876,1241,0.6018607635547001,YCL040W
598,657,76,0.8963165075034106,YCL039W
602,65,118,0.3551912568306011,YCL036W
603,1,1,0.5,YCL034W
604,5,6,0.4545454545454545,YCL034W
605,344,311,0.5251908396946565,YCL034W
606,373,280,0.5712098009188361,YCL032W
610,815,311,0.7238010657193605,YCL028W
612,30,53,0.3614457831325301,YCL027W
615,181,88,0.6728624535315985,YCL024W
616,1,2,0.3333333333333333,YCL021W-A
617,2,3,0.4,YCL021W-A
619,369,217,0.6296928327645052,YCL019W
620,4,6,0.4,YCL019W
621,0,1,0.0,YCL019W
622,10,19,0.3448275862068966,YCL020W
623,84,64,0.5675675675675675,YCL018W
625,5,0,1.0,YCL014W
626,73,166,0.3054393305439331,YCL014W
628,3170,1100,0.7423887587822015,YCL005W-A
629,4,2,0.6666666666666666,YCL005W
630,205,296,0.4091816367265469,YCL005W
632,78,17,0.8210526315789474,YCL004W
634,1661,1634,0.5040971168437026,YCL001W
640,676,960,0.4132029339853301,YCR003W
650,415,338,0.5511288180610889,YCR008W
651,2,2,0.5,YCR008W
654,5,1,0.8333333333333334,YCR012W
655,59202,119277,0.3317028894155615,YCR012W
662,166,328,0.3360323886639676,YCR016W
666,1,2,0.3333333333333333,YCR019W
667,175,173,0.5028735632183908,YCR019W
