ID,cap,uncap,pat1_2,Assigned_gene_name
422,15,7,0.6818181818181818,YBR168W
423,2,8,0.2,YBR168W
424,86,41,0.6771653543307087,YBR168W
425,39,30,0.5652173913043478,YBR168W
426,653,698,0.4833456698741673,YBR171W
428,16,16,0.5,YBR175W
429,250,191,0.5668934240362812,YBR175W
431,128,64,0.6666666666666666,YBR176W
432,9,5,0.6428571428571429,YBR178W
435,37,16,0.6981132075471698,YBR183W
436,1098,283,0.7950760318609703,YBR183W
437,5,4,0.5555555555555556,YBR184W
440,1620,1371,0.5416248746238717,YBR187W
441,10298,9871,0.5105855520848828,YBR189W
443,6,10,0.375,YBR191W
444,11547,15408,0.4283806343906511,YBR191W
445,8,104,0.07142857142857142,YBR191W-A
446,123,38,0.7639751552795031,YBR192W
447,186,209,0.4708860759493671,YBR194W
448,52,5,0.912280701754386,YBR194W
454,1013,577,0.6371069182389937,YBR199W
455,189,160,0.5415472779369628,YBR200W
456,118,161,0.4229390681003584,YBR201W
458,149,130,0.5340501792114696,YBR202W
460,60,23,0.7228915662650602,YBR203W
461,37,35,0.5138888888888888,YBR203W
464,984,275,0.7815726767275616,YBR205W
465,256,633,0.2879640044994376,YBR207W
468,147,115,0.5610687022900763,YBR210W
469,1280,395,0.7641791044776121,YBR210W
471,193,111,0.6348684210526315,YBR212W
472,69,26,0.7263157894736842,YBR213W
473,841,238,0.7794253938832252,YBR214W
474,130,48,0.7303370786516854,YBR215W
476,224,19,0.9218106995884774,YBR217W
478,76,32,0.7037037037037037,YBR225W
479,28,8,0.7777777777777778,YBR228W
480,36,39,0.48,YBR228W
482,55,665,0.0763888888888889,YBR230W-A
483,73,32,0.6952380952380952,YBR233W
484,446,777,0.3646770237121831,YBR233W-A
485,447,192,0.6995305164319249,YBR235W
486,44,165,0.21052631578947367,YBR237W
489,16,12,0.5714285714285714,YBR242W
490,11,27,0.2894736842105263,YBR242W
491,304,353,0.4627092846270928,YBR242W
492,7,2,0.7777777777777778,YBR242W
493,20,34,0.3703703703703704,YBR244W
494,468,279,0.6265060240963856,YBR244W
495,108,167,0.3927272727272727,YBR246W
497,9,8,0.5294117647058824,YBR250W
499,293,172,0.6301075268817204,YBR251W
500,4881,1023,0.8267276422764228,YBR252W
501,1,7,0.125,YBR253W
502,357,346,0.5078236130867709,YBR253W
503,69,179,0.2782258064516129,YBR255W
506,4,2,0.6666666666666666,YBR257W
507,230,97,0.7033639143730887,YBR257W
508,36,38,0.4864864864864865,YBR259W
509,625,365,0.6313131313131313,YBR263W
510,288,289,0.4991334488734835,YBR265W
511,224,214,0.5114155251141552,YBR267W
513,564,1045,0.3505282784338098,YBR268W
516,29,26,0.5272727272727272,YBR271W
517,46,152,0.2323232323232323,YBR271W
518,154,67,0.6968325791855203,YBR274W
519,241,231,0.5105932203389829,YBR278W
522,318,224,0.5867158671586716,YBR279W
525,1,1,0.5,YBR282W
526,165,809,0.16940451745379878,YBR282W
528,17,16,0.5151515151515151,YBR284W
531,62,24,0.7209302325581395,YBR285W
532,291,435,0.4008264462809917,YBR286W
535,4057,1434,0.7388453833545803,YBR287W
540,41,21,0.6612903225806451,YBR289W
542,679,529,0.5620860927152318,YBR290W
546,64,34,0.6530612244897959,YBR293W
547,1,1,0.5,YBR293W
548,3,1,0.75,YBR293W
552,24,18,0.5714285714285714,YBR295W
553,161,153,0.5127388535031847,YBR295W
556,19,3,0.8636363636363636,YBR297W
557,355,167,0.6800766283524904,YBR297W
559,2,2,0.5,YBR299W
560,63,17,0.7875,YBR299W
565,87,142,0.3799126637554585,YCL063W
566,1186,183,0.8663257852447042,YCL058W-A
567,2,10,0.16666666666666666,YCL057W
568,0,3,0.0,YCL057W
569,360,796,0.3114186851211073,YCL057W
570,188,206,0.4771573604060914,YCL055W
575,4,2,0.6666666666666666,YCL054W-A
576,31,55,0.36046511627906974,YCL054W-A
577,179,299,0.3744769874476988,YCL054W-A
578,513,224,0.6960651289009498,YCL054W
579,207,158,0.5671232876712329,YCL051W
583,18,12,0.6,YCL048W-A
584,25,5,0.8333333333333334,YCL048W-A
585,251,103,0.7090395480225988,YCL048W-A
593,54,41,0.5684210526315789,YCL042W
594,1675,1088,0.6062251176257691,YCL040W
598,288,54,0.8421052631578947,YCL039W
602,46,74,0.38333333333333336,YCL036W
603,3,8,0.2727272727272727,YCL034W
604,1,10,0.09090909090909093,YCL034W
605,287,250,0.5344506517690876,YCL034W
606,432,283,0.6041958041958042,YCL032W
610,819,244,0.7704609595484478,YCL028W
612,55,62,0.4700854700854701,YCL027W
615,189,134,0.5851393188854489,YCL024W
616,9,11,0.45,YCL021W-A
617,18,11,0.6206896551724138,YCL021W-A
619,115,21,0.8455882352941176,YCL019W
620,8,1,0.8888888888888888,YCL019W
621,2,1,0.6666666666666666,YCL019W
622,5,2,0.7142857142857143,YCL020W
623,211,91,0.6986754966887417,YCL018W
625,17,1,0.9444444444444444,YCL014W
626,55,88,0.38461538461538464,YCL014W
628,6820,2244,0.7524271844660194,YCL005W-A
629,6,13,0.3157894736842105,YCL005W
630,317,397,0.44397759103641454,YCL005W
632,146,29,0.8342857142857143,YCL004W
634,3111,2395,0.5650199782055939,YCL001W
640,866,1000,0.4640943193997856,YCR003W
650,606,394,0.606,YCR008W
651,9,22,0.2903225806451613,YCR008W
654,8,3,0.7272727272727273,YCR012W
655,84715,113542,0.4272989100006557,YCR012W
662,229,321,0.4163636363636364,YCR016W
666,1,0,1.0,YCR019W
667,188,132,0.5875,YCR019W
668,17,9,0.6538461538461539,YCR019W
669,287,1132,0.2022551092318534,YCR020W-B
682,2,8,0.2,YCR032W
683,84,110,0.4329896907216495,YCR032W
684,218,232,0.4844444444444445,YCR033W
685,2641,430,0.859980462390101,YCR034W
686,470,403,0.5383734249713631,YCR036W
691,14,17,0.4516129032258064,YCR045W-A
692,17,13,0.5666666666666667,YCR045W-A
695,6,15,0.2857142857142857,YCR047W-A
696,335,364,0.4792560801144492,YCR048W
699,1681,702,0.7054133445237096,YCR051W
700,226,189,0.5445783132530121,YCR052W
702,919,3783,0.1954487452148022,YCR053W
705,12,17,0.4137931034482759,YCR060W
706,1354,1228,0.5243996901626646,YCR060W
707,330,137,0.7066381156316917,YCR061W
713,94,62,0.6025641025641025,YCR063W
714,40,24,0.625,YCR065W
715,13,40,0.2452830188679245,YCR065W
717,78,30,0.7222222222222222,YCR066W
718,11,1,0.9166666666666666,YCR068W
719,25,23,0.5208333333333334,YCR068W
720,138,212,0.3942857142857143,YCR068W
721,662,690,0.4896449704142012,YCR069W
723,903,206,0.8142470694319206,YCR073W-A
726,8,14,0.3636363636363637,YCR075W-A
727,1422,226,0.8628640776699029,YCR075W-A
728,167,66,0.7167381974248928,YCR079W
729,129,96,0.5733333333333334,YCR079W
731,149,79,0.6535087719298246,YCR081W
732,1034,845,0.5502927088877062,YCR082W
733,495,346,0.5885850178359097,YCR083W
734,8,7,0.5333333333333333,YCR085W
735,10,0,1.0,YCR086W
