ID,cap,uncap,xrn1_1,Assigned_gene_name
8099,340,99,0.7744874715261959,YDR022C
8100,60,36,0.625,YDR022C
8101,10,8,0.5555555555555556,YDR026C
8102,255,166,0.6057007125890737,YDR026C
8103,141,50,0.7382198952879581,YDR027C
8104,0,22,0.0,YDR028C
8105,786,516,0.6036866359447005,YDR028C
8106,18,24,0.42857142857142855,YDR028C
8107,96,24,0.8,YDR030C
8109,1951,654,0.7489443378119002,YDR032C
8113,21,32,0.3962264150943397,YDR034C
8114,268,181,0.5968819599109132,YDR034C
8115,34,15,0.6938775510204082,YDR034C
8116,8,64,0.1111111111111111,YDR034C-D
8117,260,243,0.5168986083499006,YDR036C
8118,17,8,0.68,YDR036C
8119,0,2,0.0,YDR036C
8121,54,43,0.5567010309278351,YDR039C
8122,44,13,0.7719298245614035,YDR040C
8124,5,1,0.8333333333333334,YDR042C
8125,42,65,0.3925233644859813,YDR042C
8128,182,106,0.6319444444444444,YDR043C
8132,1535,465,0.7675,YDR045C
8134,1415,1127,0.556648308418568,YDR046C
8136,1,2,0.3333333333333333,YDR048C
8139,49080,20508,0.7052940162096913,YDR050C
8140,566,95,0.8562783661119516,YDR051C
8141,144,103,0.582995951417004,YDR052C
8142,354,389,0.4764468371467026,YDR054C
8143,1372,1201,0.53322969296541,YDR056C
8144,16,69,0.18823529411764706,YDR058C
8145,511,362,0.5853379152348225,YDR059C
8146,5,1,0.8333333333333334,YDR059C
8150,123,56,0.6871508379888268,YDR066C
8151,8,6,0.5714285714285714,YDR066C
8152,237,183,0.5642857142857143,YDR067C
8153,192,130,0.5962732919254659,YDR069C
8154,7,0,1.0,YDR069C
8155,47,5,0.903846153846154,YDR070C
8156,35,10,0.7777777777777778,YDR070C
8158,1961,1020,0.6578329419657833,YDR071C
8160,495,149,0.7686335403726708,YDR072C
8170,206,179,0.535064935064935,YDR078C
8171,25,18,0.5813953488372093,YDR078C
8172,538,300,0.6420047732696897,YDR079C-A
8173,7,12,0.3684210526315789,YDR079C-A
8174,104,101,0.5073170731707317,YDR081C
8175,744,621,0.545054945054945,YDR084C
8176,278,245,0.5315487571701721,YDR085C
8177,26,21,0.5531914893617021,YDR085C
8178,3,3,0.5,YDR085C
8180,5883,4628,0.5596993625725429,YDR086C
8181,609,393,0.6077844311377245,YDR087C
8182,84,18,0.8235294117647058,YDR088C
8187,279,409,0.4055232558139535,YDR090C
8188,687,1384,0.3317238049251569,YDR091C
8189,30,20,0.6,YDR091C
8191,118,102,0.5363636363636364,YDR097C
8194,1457,728,0.6668192219679634,YDR098C
8198,3053,429,0.8767949454336588,YDR101C
8199,83,16,0.8383838383838383,YDR104C
8200,142,85,0.6255506607929515,YDR105C
8201,5,6,0.4545454545454545,YDR105C
8203,460,93,0.8318264014466547,YDR107C
8204,50,94,0.3472222222222222,YDR109C
8205,3,11,0.21428571428571427,YDR109C
8207,45,77,0.3688524590163935,YDR111C
8208,145,28,0.838150289017341,YDR113C
8209,5,1,0.8333333333333334,YDR114C
8210,582,330,0.6381578947368421,YDR116C
8211,330,119,0.734966592427617,YDR117C
8214,316,189,0.6257425742574257,YDR120C
8215,369,112,0.7671517671517671,YDR123C
8216,11,1,0.9166666666666666,YDR123C
8218,90,41,0.6870229007633588,YDR125C
8219,9,4,0.6923076923076923,YDR125C
8222,1875,486,0.7941550190597204,YDR129C
8223,279,107,0.7227979274611399,YDR130C
8225,307,79,0.7953367875647669,YDR131C
8226,251,126,0.6657824933687002,YDR132C
8227,32333,6209,0.8389030148928441,YDR133C
8228,1,2,0.3333333333333333,YDR133C
8230,1773,416,0.8099588853357698,YDR135C
8231,546,432,0.558282208588957,YDR139C
8232,14,8,0.6363636363636364,YDR139C
8233,586,201,0.7445997458703939,YDR141C
8234,310,180,0.6326530612244898,YDR142C
8235,382,104,0.7860082304526749,YDR143C
8236,638,566,0.5299003322259136,YDR144C
8237,176,101,0.6353790613718412,YDR146C
8240,391,383,0.5051679586563308,YDR148C
8241,115,83,0.5808080808080808,YDR148C
8244,544,160,0.7727272727272727,YDR151C
8245,205,178,0.5352480417754569,YDR153C
8246,2,231,0.008583690987124462,YDR154C
8247,12149,14420,0.4572622228913396,YDR155C
8250,14,5,0.7368421052631579,YDR162C
8251,201,31,0.8663793103448276,YDR162C
8252,262,110,0.7043010752688172,YDR164C
8254,268,390,0.4072948328267477,YDR166C
8255,8,3,0.7272727272727273,YDR169C
8256,216,61,0.779783393501805,YDR169C
8258,12,27,0.3076923076923077,YDR170C
8259,620,290,0.6813186813186813,YDR170C
8260,19,26,0.4222222222222222,YDR173C
8261,533,157,0.7724637681159421,YDR175C
8262,16,13,0.5517241379310345,YDR175C
8264,324,92,0.7788461538461539,YDR179C
8267,99,88,0.5294117647058824,YDR181C
8271,1222,583,0.6770083102493075,YDR184C
8272,90,220,0.2903225806451613,YDR185C
8273,328,45,0.8793565683646113,YDR186C
8274,28,15,0.6511627906976745,YDR186C
8276,2133,846,0.716012084592145,YDR190C
8277,96,15,0.8648648648648649,YDR192C
8278,887,341,0.7223127035830619,YDR194C
8279,1049,457,0.6965471447543161,YDR196C
8280,104,134,0.4369747899159664,YDR198C
8281,152,148,0.5066666666666667,YDR200C
8282,213,68,0.7580071174377224,YDR202C
8285,105,71,0.5965909090909091,YDR207C
8289,115,81,0.5867346938775511,YDR217C
8291,182,139,0.5669781931464174,YDR219C
8299,4460,1172,0.7919034090909091,YDR224C
8302,178,129,0.5798045602605864,YDR228C
8303,350,154,0.6944444444444444,YDR228C
8304,392,239,0.6212361331220285,YDR231C
8307,5024,2755,0.6458413677850623,YDR233C
8308,77,82,0.4842767295597484,YDR233C
8309,938,202,0.8228070175438597,YDR236C
8310,79,116,0.4051282051282051,YDR236C
8312,1259,175,0.8779637377963738,YDR238C
8314,71,50,0.5867768595041323,YDR239C
8315,119,36,0.7677419354838709,YDR240C
8316,159,120,0.5698924731182796,YDR243C
8319,311,46,0.8711484593837535,YDR248C
8320,6,5,0.5454545454545454,YDR248C
8321,452,354,0.5607940446650124,YDR249C
8322,95,117,0.4481132075471698,YDR249C
8323,10,0,1.0,YDR250C
8326,21,33,0.3888888888888889,YDR253C
8327,388,215,0.6434494195688225,YDR255C
8330,694,497,0.5827036104114189,YDR257C
8331,230,169,0.5764411027568922,YDR258C
8332,126,114,0.525,YDR259C
8334,689,505,0.5770519262981575,YDR260C
8335,3,3,0.5,YDR260C
8336,126,204,0.3818181818181817,YDR261C
8340,40,13,0.7547169811320755,YDR263C
8342,921,414,0.6898876404494382,YDR264C
8343,11,11,0.5,YDR264C
8344,365,93,0.7969432314410481,YDR266C
8345,369,86,0.8109890109890109,YDR267C
8346,80,94,0.4597701149425287,YDR267C
8350,9097,7748,0.540041555357673,YDR276C
8351,9,13,0.4090909090909091,YDR276C
8352,45,147,0.234375,YDR277C
8355,166,47,0.7793427230046949,YDR281C
8356,49,267,0.1550632911392405,YDR282C
8357,9,11,0.45,YDR283C
8358,151,97,0.6088709677419355,YDR283C
8360,688,228,0.7510917030567685,YDR284C
8361,20,7,0.7407407407407407,YDR284C
8362,59,121,0.3277777777777778,YDR286C
8363,90,93,0.4918032786885246,YDR286C
8365,279,68,0.8040345821325648,YDR289C
8366,332,144,0.6974789915966386,YDR292C
8368,56,123,0.3128491620111732,YDR293C
8369,31,18,0.6326530612244898,YDR293C
8370,439,282,0.608876560332871,YDR293C
8371,1061,599,0.6391566265060241,YDR294C
8372,13,13,0.5,YDR295C
8373,53,47,0.53,YDR295C
8375,2976,2463,0.5471594043022614,YDR298C
8376,287,296,0.4922813036020583,YDR300C
8377,7,7,0.5,YDR303C
8378,53,154,0.2560386473429952,YDR303C
8379,181,87,0.6753731343283582,YDR303C
8381,1918,1283,0.5991877538269291,YDR304C
8382,109,33,0.7676056338028169,YDR305C
8383,242,161,0.6004962779156328,YDR306C
8384,238,160,0.5979899497487438,YDR308C
8386,369,240,0.6059113300492611,YDR309C
8387,111,97,0.5336538461538461,YDR310C
8389,23,17,0.575,YDR313C
8390,152,97,0.6104417670682731,YDR314C
8392,408,171,0.7046632124352331,YDR315C
8398,567,457,0.5537109375,YDR319C
8399,282,91,0.7560321715817694,YDR320C
8400,309,404,0.4333800841514727,YDR320C-A
8401,2385,1448,0.6222280198278111,YDR322C-A
