ID,cap,uncap,dcp2_1,Assigned_gene_name
174,708,1026,0.4083044982698962,YBL050W
175,296,57,0.8385269121813032,YBL049W
176,65,28,0.6989247311827957,YBL049W
178,116,86,0.5742574257425742,YBL046W
180,184,85,0.6840148698884758,YBL043W
182,126,81,0.6086956521739131,YBL041W
183,2508,578,0.812702527543746,YBL041W
185,202,234,0.4633027522935779,YBL039W-B
186,37,45,0.451219512195122,YBL039W-B
187,502,326,0.606280193236715,YBL038W
188,179,227,0.4408866995073892,YBL037W
190,202,285,0.4147843942505133,YBL032W
191,33,51,0.3928571428571429,YBL031W
192,88,15,0.8543689320388349,YBL029W
194,12480,18256,0.4060385216033316,YBL027W
196,12,14,0.4615384615384616,YBL026W
197,6,0,1.0,YBL026W
198,5,7,0.4166666666666667,YBL026W
199,406,327,0.5538881309686221,YBL026W
200,432,60,0.8780487804878049,YBL025W
201,899,186,0.8285714285714286,YBL024W
202,15,11,0.5769230769230769,YBL020W
203,452,230,0.6627565982404692,YBL020W
205,49,60,0.44954128440366975,YBL019W
206,2,21,0.08695652173913042,YBL016W
207,0,2,0.0,YBL016W
208,678,185,0.7856315179606026,YBL016W
210,313,74,0.8087855297157622,YBL015W
213,31,38,0.4492753623188406,YBL013W
215,365,180,0.6697247706422018,YBL011W
217,96,8,0.9230769230769232,YBL009W
218,176,103,0.6308243727598566,YBL008W
220,16,11,0.5925925925925926,YBL006W-A
221,23,32,0.41818181818181815,YBL005W
222,67,60,0.5275590551181102,YBL005W
224,69,117,0.3709677419354839,YBL005W-A
225,54,88,0.38028169014084506,YBL005W-A
229,696,338,0.6731141199226306,YBL004W
230,6184,2464,0.7150786308973173,YBL002W
234,704,272,0.7213114754098361,YBR003W
235,39,25,0.609375,YBR005W
236,1140,591,0.658578856152513,YBR005W
237,301,45,0.869942196531792,YBR005W
239,187,86,0.6849816849816851,YBR006W
248,1593,3936,0.28811720021703746,YBR010W
250,45,63,0.4166666666666667,YBR016W
251,938,662,0.58625,YBR016W
254,385,115,0.77,YBR021W
255,534,270,0.6641791044776121,YBR022W
258,74,78,0.4868421052631579,YBR024W
259,215,123,0.636094674556213,YBR030W
260,253,168,0.6009501187648456,YBR030W
261,6945,4126,0.6273146057266733,YBR031W
264,12,3,0.8,YBR033W
265,3,19,0.13636363636363635,YBR033W
273,652,572,0.5326797385620915,YBR038W
276,1725,746,0.698097936058276,YBR039W
278,372,198,0.6526315789473685,YBR041W
286,166,77,0.6831275720164609,YBR047W
288,25,32,0.43859649122807015,YBR048W
289,31712,9846,0.7630781077048944,YBR048W
293,22,77,0.2222222222222222,YBR051W
298,54,55,0.4954128440366973,YBR054W
299,822,835,0.4960772480386239,YBR054W
301,257,262,0.4951830443159923,YBR056W
305,572,347,0.6224156692056583,YBR056W-A
313,1405,1560,0.4738617200674536,YBR071W
316,6,13,0.3157894736842105,YBR072W
317,1,25,0.038461538461538464,YBR072W
318,341,235,0.5920138888888888,YBR072W
320,905,307,0.7466996699669967,YBR073W
321,609,676,0.4739299610894942,YBR074W
324,3241,4701,0.408083606144548,YBR078W
329,56,53,0.5137614678899083,YBR083W
330,45,47,0.4891304347826087,YBR083W
331,189,479,0.2829341317365269,YBR083W
333,624,382,0.6202783300198808,YBR084W
334,92,44,0.6764705882352942,YBR085W
338,22,21,0.5116279069767442,YBR087W
339,357,116,0.7547568710359408,YBR087W
344,106,46,0.6973684210526315,YBR094W
345,344,1692,0.16895874263261296,YBR096W
346,214,79,0.7303754266211604,YBR097W
347,226,62,0.7847222222222222,YBR098W
348,34,52,0.3953488372093023,YBR103W
349,25,24,0.5102040816326531,YBR103W
350,395,178,0.6893542757417103,YBR104W
352,1720,1459,0.5410506448568733,YBR106W
355,11,8,0.5789473684210527,YBR108W
356,207,87,0.7040816326530612,YBR108W
357,252,230,0.5228215767634855,YBR110W
358,735,371,0.6645569620253164,YBR110W
360,588,401,0.5945399393326593,YBR111W-A
362,192,38,0.8347826086956521,YBR114W
366,8,13,0.3809523809523809,YBR118W
367,40954,28147,0.5926687023342644,YBR118W
369,64,99,0.392638036809816,YBR119W
371,39,15,0.7222222222222222,YBR124W
373,1754,651,0.7293139293139294,YBR126W-A
376,69,47,0.5948275862068966,YBR131W
377,9,11,0.45,YBR135W
378,1213,729,0.6246138002059732,YBR135W
379,102,73,0.5828571428571429,YBR136W
381,1111,150,0.8810467882632831,YBR137W
384,1920,776,0.712166172106825,YBR139W
385,580,247,0.7013301088270859,YBR141W-A
386,175,238,0.42372881355932196,YBR142W
388,272,590,0.31554524361948955,YBR145W
390,418,924,0.3114754098360656,YBR146W
392,182,104,0.6363636363636364,YBR147W
393,1273,1538,0.4528637495553184,YBR149W
394,543,271,0.6670761670761671,YBR151W
396,25,45,0.35714285714285715,YBR152W
398,367,192,0.6565295169946332,YBR153W
400,268,126,0.6802030456852792,YBR155W
406,10,9,0.5263157894736842,YBR158W
407,759,209,0.7840909090909091,YBR158W
408,1302,534,0.7091503267973857,YBR159W
409,330,425,0.4370860927152318,YBR160W
410,259,231,0.5285714285714286,YBR161W
412,88,38,0.6984126984126984,YBR162W-A
413,138,158,0.4662162162162162,YBR162W-A
414,5219,1012,0.8375862622372011,YBR162W-A
415,263,234,0.5291750503018109,YBR163W
416,12,7,0.631578947368421,YBR163W
418,486,128,0.7915309446254072,YBR165W
419,9,10,0.4736842105263158,YBR165W
421,20,0,1.0,YBR168W
422,13,7,0.65,YBR168W
423,10,17,0.3703703703703704,YBR168W
424,180,97,0.6498194945848376,YBR168W
425,54,26,0.675,YBR168W
426,425,383,0.525990099009901,YBR171W
428,51,17,0.75,YBR175W
429,395,290,0.5766423357664233,YBR175W
431,146,52,0.7373737373737373,YBR176W
432,11,4,0.7333333333333333,YBR178W
435,22,16,0.5789473684210527,YBR183W
436,1046,211,0.8321400159108989,YBR183W
437,28,20,0.5833333333333334,YBR184W
440,1330,1255,0.5145067698259188,YBR187W
441,10904,9757,0.5277576109578432,YBR189W
443,17,25,0.4047619047619048,YBR191W
444,13581,14620,0.481578667423141,YBR191W
445,5,61,0.07575757575757576,YBR191W-A
446,137,39,0.7784090909090909,YBR192W
447,221,277,0.4437751004016065,YBR194W
448,17,0,1.0,YBR194W
454,749,422,0.6396242527754057,YBR199W
455,241,181,0.5710900473933649,YBR200W
