ID,wt_a,pat_a,m/w,log
11903,0.7082604257801108,0.43101489427555545,0.61,-0.7131188522118385
11909,0.7662285505659001,0.6109402245937086,0.8,-0.3219280948873623
11913,0.7451300665456745,0.4206455622110428,0.56,-0.8365012677171204
11918,0.863078608175346,0.8039725129443165,0.93,-0.10469737866669322
11919,0.6522010271460015,0.4153465865876367,0.64,-0.6438561897747246
11928,0.696969696969697,0.4608344090648308,0.66,-0.5994620704162712
11929,0.7393549014703021,0.4705643509738884,0.64,-0.6438561897747246
11933,0.8215395105689824,0.6472207731988641,0.79,-0.3400754415976217
11934,0.6300751879699248,0.5008089500860585,0.79,-0.3400754415976217
11937,0.6301508020690463,0.4346381440932229,0.69,-0.5353317329965557
11940,0.4727689594356261,0.3511907284768212,0.74,-0.4344028241457749
11945,0.4639117486951232,0.2907983489378838,0.63,-0.6665762662748083
11947,0.5208333333333333,0.2682926829268293,0.52,-0.9434164716336325
11951,0.2721362316343509,0.1874573821334149,0.69,-0.5353317329965557
11956,0.5448952399595445,0.4015866678281743,0.74,-0.4344028241457749
11958,0.6495863402455659,0.5004551903656407,0.77,-0.3770696490798233
11962,0.6902800853253948,0.5383321316991108,0.78,-0.3584539709124763
11970,0.8329436668065144,0.7634986731986121,0.92,-0.12029423371771177
11972,0.6716417910447762,0.4457244129375277,0.66,-0.5994620704162712
11978,0.1561576354679803,0.10897435897435898,0.7,-0.5145731728297583
11981,0.6701559934318555,0.4931113662456946,0.74,-0.4344028241457749
11983,0.6894003378378378,0.507779837859454,0.74,-0.4344028241457749
11985,0.408887753799004,0.2477874439799646,0.61,-0.7131188522118385
11986,0.8081433562804856,0.6531382978723405,0.81,-0.3040061868900999
11988,0.5094339622641509,0.5573770491803278,1.09,0.12432813500220176
11989,0.6248152669793742,0.5103157627884767,0.82,-0.2863041851566411
11991,0.6502930371308261,0.5014954249119067,0.77,-0.3770696490798233
12005,0.5320987466421119,0.29955936456369825,0.56,-0.8365012677171204
12007,0.5256903789587914,0.3964352969098919,0.75,-0.4150374992788438
12008,0.7082283881447061,0.5543982417819486,0.78,-0.3584539709124763
12009,0.6701289052700643,0.4090946924486653,0.61,-0.7131188522118385
12011,0.7492612055641422,0.6108733131205042,0.82,-0.2863041851566411
12013,0.5370670995670995,0.3478260869565217,0.65,-0.6214883767462702
12022,0.9072916519686002,0.8675698047593944,0.96,-0.058893689053568565
12026,0.5802348336594911,0.4764112903225807,0.82,-0.2863041851566411
12031,0.8392886264819504,0.7362737909339852,0.88,-0.18442457113742744
12037,0.8125050591770405,0.7514851485148515,0.92,-0.12029423371771177
12042,0.71163493391436,0.4847871880008385,0.68,-0.5563933485243852
12044,0.8041784560861986,0.5288461538461539,0.66,-0.5994620704162712
12046,0.7351089219519626,0.6406617647058823,0.87,-0.20091269392599642
12050,0.5894953688415028,0.5231762452107279,0.89,-0.16812275880832692
12052,0.7460502283105023,0.5718814883996515,0.77,-0.3770696490798233
12053,0.7826876513317191,0.6043478260869566,0.77,-0.3770696490798233
12054,0.7883825736435901,0.6854563455561258,0.87,-0.20091269392599642
12055,0.6088907872256539,0.3752824589553063,0.62,-0.6896598793878495
12056,0.6699965403909358,0.3954764623778708,0.59,-0.7612131404128835
12057,0.8558817804258995,0.6021077081253894,0.7,-0.5145731728297583
12058,0.8050847457627118,0.5555555555555556,0.69,-0.5353317329965557
12060,0.5419340936271276,0.33351058496556696,0.62,-0.6896598793878495
12063,0.917310606060606,0.8290796254998999,0.9,-0.15200309344504997
12064,0.6788847117794485,0.5644707207207207,0.83,-0.2688167584278
12068,0.7936760616402749,0.6201871408581532,0.78,-0.3584539709124763
12069,0.6455540951348258,0.4373829562418027,0.68,-0.5563933485243852
12070,0.6805664488017429,0.5353048398474691,0.79,-0.3400754415976217
12071,0.7445255474452555,0.6037735849056604,0.81,-0.3040061868900999
12072,0.4876305220883535,0.3375,0.69,-0.5353317329965557
12080,0.8120123565754633,0.6364529599606976,0.78,-0.3584539709124763
12084,0.5349484060644492,0.2897801597063589,0.54,-0.888968687611256
12085,0.8360858794384806,0.7463346814964611,0.89,-0.16812275880832692
12086,0.6795608812263549,0.5531120486009589,0.81,-0.3040061868900999
12087,0.799744685029705,0.6153912030693339,0.77,-0.3770696490798233
12088,0.6856385354898324,0.485233918128655,0.71,-0.49410907027004275
12089,0.7338935843257779,0.6405547226386807,0.87,-0.20091269392599642
12090,0.7128574022434819,0.5271385225547603,0.74,-0.4344028241457749
12091,0.6618905742145179,0.3769808654055229,0.57,-0.8109661756099832
12092,0.7062601099967648,0.4905882352941177,0.69,-0.5353317329965557
12096,0.618025283347864,0.4510073260073261,0.73,-0.4540316308947075
12100,0.7919299301307124,0.5304495633315749,0.67,-0.5777669993169522
12102,0.8039260971363281,0.7176823921160891,0.89,-0.16812275880832692
