ID,wt_a,dhh_a
593,0.69793474488025,0.4582619215646738
594,0.6689178692381783,0.5869868618580358
598,0.9248554913294798,0.8859544622825111
602,0.4927908884401817,0.316057166876839
605,0.6841802737742959,0.4677977319860566
606,0.7763377573907617,0.5286443436148704
610,0.7856971947868836,0.7212277499850626
612,0.5172143974960877,0.324472891566265
615,0.8085851648351648,0.5835354738700463
619,0.8493475274725275,0.5800532290343208
623,0.8257965636847624,0.5568607068607068
626,0.4811809969889595,0.2890833016356029
628,0.8549302571195663,0.7042116570986439
630,0.6213219631344259,0.3411256582879439
632,0.8294573643410853,0.7295081967213115
634,0.7324136726305355,0.4353378582897509
640,0.7627292988170753,0.34631462228445536
650,0.7655707558230552,0.48186522203867455
655,0.6677779651909085,0.26981401274065864
662,0.6611258497761565,0.275945709750486
667,0.6786723163841808,0.46171715544097114
669,0.3590047340097917,0.11090152001377562
683,0.6655823031880286,0.38365703101475457
684,0.7590452117434374,0.318359886774209
685,0.8845883356737002,0.8342870284357145
686,0.634483419887842,0.355151475355447
696,0.6350678733031674,0.3673015580376865
699,0.7897121618807744,0.6131816881625782
700,0.7227041033047319,0.5138996180652957
702,0.3374217085545662,0.12219364852334208
705,0.5440449438202247,
706,0.7635548202815008,0.4105758790612211
707,0.8126630980260956,0.6191782084078219
713,0.6287749287749287,0.5160506055558057
720,0.489914054358945,0.3457841672890217
721,0.6719248227482462,0.3579406896377444
723,0.9127925593851887,0.741158825438775
727,0.9012248929963864,0.8059315327931051
729,0.7318554396423249,0.4127331032088074
731,0.8133971291866029,0.5682188368305068
732,0.6766524117280839,0.529484262419416
733,0.7602123486269827,0.4684959349593496
736,0.511342214402413,0.17458735204842218
739,0.25760416666666663,0.10021482813749001
741,0.6487179487179486,0.37821165817770236
747,0.39761135868391606,0.12899288162466319
750,0.8663407404883783,0.5531000468063405
754,0.32668046906191733,0.14464004762512225
770,0.7500795221601753,0.38095238095238093
782,0.48523886205045624,
784,0.6609848484848485,0.4416324669402645
786,0.7967823543363112,0.5532788932174608
788,0.40891011270938415,0.19927840766837154
790,0.6491090154774115,0.4413766104349064
793,0.5939818800475547,0.30052125349053677
794,0.8437795125440005,0.528873466667372
796,0.617936867806069,0.2878008474049776
797,0.796379496539261,0.4793672218530536
806,0.7232057727312127,0.5635086560320205
810,0.6104821534075282,0.36933871284238134
