ID,wt_a,dhh_a,m/w,log
2483,0.6508979048885932,0.3814907099790821,0.59,-0.7612131404128835
2486,0.9485609416895966,0.8295096946300461,0.87,-0.20091269392599642
2493,0.8130081300813008,0.749075940860215,0.92,-0.12029423371771177
2497,0.6784950958864002,0.3638473057998124,0.54,-0.888968687611256
2499,0.5879401993355482,0.486340276902313,0.83,-0.2688167584278
2500,0.6992463019211883,0.3987550113492848,0.57,-0.8109661756099832
2501,0.8747932949224531,0.8062494736293307,0.92,-0.12029423371771177
2503,0.7213504776433838,0.548121521335807,0.76,-0.3959286763311392
2504,0.8405067155067155,0.6563237995276829,0.78,-0.3584539709124763
2505,0.6317047869648821,0.2405839416058394,0.38,-1.3959286763311392
2506,0.4745940712281647,0.3371718298511857,0.71,-0.49410907027004275
2512,0.5675577476075991,0.3510731744870857,0.62,-0.6896598793878495
2514,0.748366168586022,0.3990557121351037,0.53,-0.9159357352115255
2515,0.7635259571911853,0.5531909240661035,0.72,-0.47393118833241243
2519,0.6033194176585652,0.3656341922207774,0.61,-0.7131188522118385
2520,0.5656417112299466,0.2825984261757064,0.5,-1.0
2522,0.8066090327022032,0.5593282250329028,0.69,-0.5353317329965557
2525,0.6668336320224337,0.4046223319516738,0.61,-0.7131188522118385
2533,0.8058153126826417,0.4470046082949309,0.55,-0.862496476250065
2537,0.8926804716709809,0.5595449697831496,0.63,-0.6665762662748083
2539,0.6840111226972541,0.3865913117092824,0.57,-0.8109661756099832
2540,0.531563334646876,0.3454762271118634,0.65,-0.6214883767462702
2542,0.8327865871145089,0.6370611326746647,0.76,-0.3959286763311392
2546,0.8948637569327225,0.6370883671365526,0.71,-0.49410907027004275
2547,0.7063138686131387,0.5617076877455704,0.8,-0.3219280948873623
2551,0.7037567637595812,0.4653099619143761,0.66,-0.5994620704162712
2555,0.8164909859902103,0.6660792960268784,0.82,-0.2863041851566411
2559,0.5603274286212925,0.2522049848407292,0.45,-1.15200309344505
2560,0.59603336352657,0.4717264977434295,0.79,-0.3400754415976217
2561,0.7244907951429691,0.6019842491970611,0.83,-0.2688167584278
2562,0.687159602178546,0.3745116273629048,0.55,-0.862496476250065
2563,0.8216751779917536,0.4511670607933166,0.55,-0.862496476250065
2565,0.7408574754353647,0.43923023778175263,0.59,-0.7612131404128835
2570,0.7103276886265162,0.4684313725490196,0.66,-0.5994620704162712
2574,0.5036822612915585,0.31208782439680577,0.62,-0.6896598793878495
2577,0.4894366197183099,0.17732517335279752,0.36,-1.4739311883324124
2579,0.4585115887497208,0.2380091072817957,0.52,-0.9434164716336325
