ID,wt1,Assigned_gene_name,wt2,pat1_1,pat1_2
148,0.36930860033726814,YBL085W,0.3433874709976798,0.13221153846153846,0.15765765765765766
149,0.8268733850129198,YBL081W,0.8210151380231523,0.6679151061173533,0.6936353829557713
154,0.5777777777777777,YBL079W,0.5651658767772512,0.33423180592991913,0.3668639053254438
156,0.7717391304347826,YBL071W-A,0.7893114080164442,0.6381395348837209,0.6736938588450962
157,0.8625954198473282,YBL069W,0.8661290322580645,0.6169491525423729,0.69009009009009
159,0.7398218829516541,YBL068W,0.7576435495898584,0.5693146417445483,0.6286254728877679
160,0.6190476190476191,YBL063W,0.625,0.23214285714285715,0.3193277310924369
162,0.6568627450980392,YBL060W,,0.38144329896907214,0.3928571428571429
164,0.8116089613034623,YBL058W,0.8053691275167785,0.6010273972602739,0.6316695352839932
165,0.7398496240601504,YBL056W,0.717670286278381,0.5622317596566524,0.5538869257950529
169,0.2298136645962733,YBL054W,0.25,0.14619883040935672,0.20408163265306128
174,0.6151761517615176,YBL050W,0.610762331838565,0.3713910761154856,0.4013605442176871
178,0.6754966887417219,YBL046W,0.6475409836065574,0.5,0.528957528957529
182,0.6637931034482759,YBL041W,0.6666666666666666,0.4150943396226415,0.4855072463768116
183,0.896029471960704,YBL041W,0.8832684824902723,0.7660234321157822,0.8045461821674403
185,0.7434782608695653,YBL039W-B,0.5904761904761905,0.5892255892255892,0.4839857651245552
187,0.6569767441860465,YBL038W,0.7168141592920354,0.5187969924812029,0.5950920245398773
188,0.587248322147651,YBL037W,0.5229357798165137,0.3127572016460905,0.38372093023255816
190,0.5917667238421955,YBL032W,0.5441527446300716,0.4368,0.4170616113744076
191,0.4929577464788733,YBL031W,0.4482758620689655,,
194,0.6400790760586827,YBL027W,0.6260784313725489,0.3551606089300022,0.3747739453523165
199,0.6804123711340206,YBL026W,0.706267539756782,0.54,0.5543147208121827
200,0.8705882352941177,YBL025W,,0.8066037735849056,0.8814814814814815
201,0.8910380399742102,YBL024W,0.8888888888888888,0.7385003150598614,0.7609907120743034
203,0.7227053140096619,YBL020W,0.7451923076923077,0.4897229669347632,0.6083254493850521
205,0.6216216216216216,YBL019W,0.7162162162162162,0.4339622641509434,0.4745762711864407
208,0.8593155893536122,YBL016W,0.8126801152737753,0.7747489239598279,0.7744945567651633
210,0.8859934853420195,YBL015W,0.8482758620689655,0.7947882736156352,0.8293269230769231
213,0.6290322580645161,YBL013W,,0.4482758620689655,
215,0.7656950672645741,YBL011W,0.7779578606158833,0.5717054263565892,0.5796387520525451
218,0.8078175895765473,YBL008W,0.8427947598253275,0.4977168949771689,0.5967741935483871
222,0.782312925170068,YBL005W,0.7555555555555555,0.4684684684684685,0.4854368932038835
224,0.4108108108108108,YBL005W-A,0.5241379310344828,0.2434210526315789,0.3461538461538461
225,0.4887218045112782,YBL005W-A,0.5617977528089888,0.3333333333333333,0.4268292682926829
229,0.6712887438825449,YBL004W,0.6957026713124274,0.5160944206008584,0.5268176400476758
230,0.7904732573657736,YBL002W,0.7905733117771422,0.6905054539867875,0.737392003214788
234,0.7984031936127745,YBR003W,0.8265306122448979,0.5845323741007195,0.6579406631762653
236,0.6956521739130435,YBR005W,0.6789808917197452,0.4852104664391354,0.5084745762711864
239,0.7014218009478673,YBR006W,0.7051282051282052,0.5986206896551725,0.5802469135802469
248,0.4597927972372965,YBR010W,0.4204223132682005,0.22010351402887496,0.2527055031084504
251,0.7162454873646209,YBR016W,0.7207373271889401,0.5267316302343956,0.5996150144369586
254,0.7533632286995515,YBR021W,0.6941176470588235,0.6831683168316832,0.7452229299363057
