ID,wt1,Assigned_gene_name,wt2,dcp2_1,dcp2_2
11727,0.7511709601873536,YML072C,0.7604743083003953,0.6230859835100118,0.583417593528817
11730,0.85,YML071C,0.8689320388349514,0.7666666666666667,0.6340425531914894
11732,0.8239917976760082,YML067C,0.8291003013344813,0.7361607142857143,0.6533948030176027
11734,0.6075,YML064C,0.6588628762541806,0.4484181568088033,0.3621933621933622
11735,0.703125,YML062C,0.5921052631578947,0.4097222222222222,0.4121212121212121
11738,0.7792207792207793,YML061C,0.775,0.7048458149779736,0.7579908675799086
11739,0.8211206896551724,YML059C,0.8207282913165266,0.6953455571227081,0.5950155763239875
11743,0.3927498705334024,YML056C,0.38119185315564497,0.5214982042072858,0.5051135201472694
11748,0.6942446043165468,YML053C,0.7156862745098039,0.525911708253359,0.4756554307116105
11752,0.4705882352941176,YML043C,0.4084507042253521,0.373134328358209,0.2832369942196532
11753,0.5265822784810127,YML041C,0.5265017667844523,0.53,0.4808306709265176
11754,0.7453416149068323,YML038C,0.7071823204419889,0.5488029465930019,0.515096065873742
11757,0.5711252653927813,YML035C,0.6016042780748663,0.4474393530997305,0.3468354430379747
11758,0.55,YML032C,0.5565749235474006,0.4407894736842105,0.4287531806615776
11762,0.8204134637538487,YML026C,0.8180944637445487,0.7849316462566572,0.7762889183476049
11763,0.4988179669030733,YML025C,0.5691056910569106,0.4360189573459716,0.3723522853957637
11764,0.9482596425211663,YML023C,0.9595300261096604,0.9202961672473868,0.92630676949443
11767,0.8238636363636364,YML021C,0.7925311203319502,0.5989847715736041,0.4731457800511509
11772,0.6379430159833217,YML018C,0.6380368098159509,0.5977777777777777,0.5266742338251986
11774,0.7136690647482015,YML016C,0.625,0.665625,0.5794780545670225
11776,0.9051724137931034,YML015C,0.8770053475935828,0.8522727272727273,0.8664921465968587
11778,0.44,YML011C,0.4135977337110481,0.3364341085271318,0.3223938223938224
11779,0.7435736677115987,YML009C,0.7065040650406504,0.5325936199722607,0.5
11780,0.6913480885311871,YML008C,0.7059410883674488,0.486502699460108,0.4213709677419355
11781,0.3141025641025641,YML008C,0.4161490683229814,0.427536231884058,0.2921348314606741
11782,0.6515957446808511,YML006C,0.7256944444444444,0.6111111111111112,0.5954773869346733
11783,0.484472049689441,YML006C,0.4930555555555556,0.4761904761904762,0.3977272727272727
11787,0.6918955123911588,YML004C,0.7142857142857143,0.6339434276206323,0.5716814159292035
11793,0.5928753180661578,YMR001C,0.6920731707317073,0.5201793721973094,0.4614512471655329
11797,0.6172465960665658,YMR006C,0.6211453744493393,0.5354330708661418,0.6028368794326241
11798,0.8285714285714286,YMR008C,0.7892156862745098,0.5555555555555556,0.6176470588235294
11799,0.4985163204747775,YMR008C,0.5142314990512334,0.4351535836177474,0.4269102990033223
11805,0.8055555555555556,YMR013C,0.7639751552795031,0.5973451327433629,0.5949367088607594
11806,0.7466666666666667,YMR015C,0.7247191011235955,0.6088888888888889,0.5728900255754475
11809,0.7734375,YMR016C,0.7748592870544091,0.6175115207373272,0.6356680400235433
11815,0.5871559633027523,YMR021C,0.5534591194968553,0.3342175066312997,0.2565947242206235
11819,0.4856512141280353,YMR026C,0.4501424501424501,0.3928571428571429,0.34513274336283184
11820,0.5528169014084507,YMR029C,0.5797101449275363,0.5080645161290323,0.39649122807017545
11824,0.8235294117647058,YMR031C,0.8041666666666667,0.7239057239057239,0.7227414330218068
11826,0.75,YMR036C,0.7206703910614525,0.6646706586826348,0.5837837837837838
11829,0.7049608355091384,YMR037C,0.6706948640483383,0.5773353751914242,0.5421133231240429
11832,0.7836065573770492,YMR038C,0.7944199706314243,0.6584093872229465,0.5935563816604709
11833,0.7819444444444444,YMR039C,0.7292418772563177,0.7397959183673469,0.6373831775700934
11835,0.7347670250896058,YMR041C,0.7477477477477478,0.6114180478821363,0.5805785123966942
11842,0.3295711060948081,YMR047C,0.2935153583617747,0.21394230769230768,0.18911174785100288
11843,0.7571545380212592,YMR049C,0.7613908872901679,0.669921875,0.64375
11845,0.6079295154185022,YMR051C,0.5603448275862069,0.43833017077798864,0.4344660194174757
11847,0.7767295597484277,YMR055C,0.7802690582959642,0.6778378378378378,0.6645636172450052
11851,0.5084745762711864,YMR056C,,0.4823529411764706,0.408
11856,0.6888045540796964,YMR060C,0.635036496350365,0.5782312925170068,0.5197934595524957
11858,0.7829268292682927,YMR062C,0.8172043010752689,0.6714082503556188,0.6287769784172662
11861,0.8856382978723404,YMR067C,0.8617021276595744,0.6870748299319728,0.7181663837011885
11862,0.5576430401366353,YMR071C,0.5269616957976944,0.3819759416288701,0.3536278735632184
11863,0.2857142857142857,YMR073C,0.1973684210526316,0.13851351351351351,0.1299638989169675
11864,0.5410730524401334,YMR074C,0.5361242403781229,0.399079754601227,0.3747996152613017
11866,0.6535433070866141,YMR076C,0.7341772151898734,0.558974358974359,0.5214723926380368
11867,0.4591549295774648,YMR077C,0.5267175572519084,0.3822937625754527,0.3102766798418972
11868,0.6700336700336701,YMR078C,0.7625,0.5835475578406171,0.4380165289256198
11869,0.6963249516441006,YMR080C,0.6677713338856669,0.5601131541725601,0.4829290206648697
11872,0.5392156862745098,YMR081C,0.62,0.3603603603603603,0.3756906077348066
11881,0.8156996587030717,YMR088C,0.7916666666666666,0.7013888888888888,0.6592592592592592
11882,0.6396396396396397,YMR088C,0.6519607843137255,0.5231607629427792,0.4723837209302326
11884,0.8836805555555556,YMR089C,0.9013539651837524,0.8127053669222344,0.8117283950617284
11885,0.7373737373737373,YMR091C,0.7352941176470589,0.5408560311284046,0.5
11887,0.5759368836291914,YMR092C,0.5506958250497018,0.4749034749034749,0.4280821917808219
11892,0.867704280155642,YMR097C,0.7771739130434783,0.6658711217183771,0.6483050847457628
11893,0.6133333333333333,YMR098C,0.7222222222222222,0.6,0.5412844036697247
11894,0.5906040268456376,YMR099C,0.6472602739726028,0.5267062314540061,0.4529616724738676
11898,0.5510204081632653,YMR102C,0.5441176470588235,0.42168674698795183,0.3684210526315789
11899,0.8677248677248677,YMR102C,0.8838174273858921,0.7674418604651163,0.7386363636363636
11902,0.644927536231884,YMR104C,0.6374045801526718,0.5077120822622108,0.4474820143884892
11903,0.6850393700787402,YMR105C,0.7314814814814815,0.5313964386129335,0.4594059405940594
11909,0.7445783132530122,YMR110C,0.7878787878787878,0.629570747217806,0.5680751173708921
11913,0.7218390804597701,YMR112C,0.7684210526315789,0.5481611208406305,0.43710972346119537
11918,0.8759291270527225,YMR116C,0.8502280892979694,0.7903191030616645,0.78591723285979
11919,0.6448275862068965,YMR117C,0.6595744680851063,0.5122235157159488,0.4969249692496925
11928,0.696969696969697,YMR120C,,0.5104895104895105,0.4268292682926829
11929,0.74487895716946,YMR121C,0.7338308457711443,0.5729366602687139,0.4995648389904265
11933,0.8147208121827412,YMR126C,0.8283582089552238,0.6819277108433734,0.6643835616438356
11934,0.631578947368421,YMR127C,0.6285714285714286,0.4951456310679612,0.4866071428571429
11937,0.6250875963559915,YMR131C,0.6352140077821011,0.5501644736842105,0.5003849114703618
11940,0.4838095238095238,YMR132C,0.4617283950617284,0.3871906841339156,0.3518776077885953
11945,0.5026737967914439,YMR135C,0.4251497005988024,0.35728542914171657,0.2570921985815603
11947,0.5,YMR137C,0.5416666666666666,0.21505376344086025,0.2706766917293233
11951,0.2754620123203285,YMR142C,0.2688104509483733,0.2088906118756865,0.1832232371440311
11956,0.5562352941176469,YMR145C,0.533555185801442,0.4136996904024768,0.3593073593073593
11958,0.6365040148239655,YMR146C,0.6626686656671664,0.5346582646631121,0.4695093993580926
11962,0.6848306332842415,YMR150C,0.6957295373665481,0.5629921259842521,0.5866666666666667
11970,0.8503184713375797,YMR157C,0.8155688622754491,0.7667953667953668,0.7631133671742809
11972,0.6716417910447762,YMR159C,,0.5581395348837209,0.4653846153846154
11976,0.2734375,YMR162C,0.19607843137254904,0.17218543046357615,0.13714285714285715
11978,0.16748768472906406,YMR163C,0.14482758620689656,0.07901907356948229,
11981,0.7023809523809523,YMR164C,0.6379310344827587,0.4322033898305085,0.42063492063492064
11983,0.703125,YMR165C,0.6756756756756757,0.5480769230769231,0.5058823529411764
11985,0.4031413612565445,YMR166C,0.4146341463414634,0.28936170212765955,0.2626728110599078
11986,0.7914691943127962,YMR168C,0.8248175182481752,0.7207977207977208,0.7292682926829268
11988,0.5094339622641509,YMR169C,,0.4098360655737705,0.39593908629441626
11989,0.6455696202531646,YMR170C,0.6040609137055838,0.4718498659517426,0.4114114114114114
11991,0.6791171477079796,YMR171C,0.6214689265536724,0.6071428571428571,0.555858310626703
12005,0.4962216624685138,YMR180C,0.56797583081571,0.3783505154639175,0.32970027247956396
12007,0.5235457063711911,YMR181C,0.5278350515463918,0.44034917555771097,0.3868670886075949
12008,0.7112970711297071,YMR182C,0.7051597051597052,0.5469798657718121,0.5494505494505495
12009,0.6649331352154532,YMR183C,0.6753246753246753,0.4857731958762886,0.4039504260263362
12011,0.7465224111282844,YMR188C,0.752,0.6391076115485564,0.6397188049209139
12013,0.5416666666666666,YMR190C,0.5324675324675324,0.3392857142857143,0.2429906542056075
12018,0.5882352941176471,YMR194C-A,,,
12022,0.911275415896488,YMR197C,0.9033078880407124,0.8714401952807159,0.8453689167974883
12026,0.589041095890411,YMR201C,0.5714285714285714,0.5934959349593496,0.556390977443609
12031,0.8432497331910352,YMR205C,0.8353275197728656,0.7553516819571865,0.7224615384615385
12037,0.8180535966149506,YMR209C,0.8069565217391305,0.7679083094555874,0.7401129943502824
12042,0.7194371152154794,YMR212C,0.7038327526132404,0.5292949354518371,0.4708835341365462
12044,0.8195718654434251,YMR216C,0.7887850467289721,0.6492890995260664,0.5899532710280374
12046,0.7255369928400954,YMR218C,0.7446808510638298,0.6355555555555555,0.6382488479262672
12050,0.6031042128603105,YMR221C,0.5758865248226951,0.5550611790878754,0.5250521920668059
12052,0.7466666666666667,YMR222C,0.7454337899543378,0.5920289855072464,0.5569434239529758
12053,0.7857142857142857,YMR224C,0.7796610169491526,0.7101449275362319,0.7014925373134329
12054,0.7862767154105736,YMR225C,0.7904884318766067,0.7360876897133221,0.6934306569343066
12055,0.6034958601655934,YMR226C,0.6142857142857143,0.4518922990020712,0.3806965863801767
12056,0.6910569105691057,YMR227C,0.6489361702127661,0.4661654135338346,0.4589041095890411
12057,0.8610891870560379,YMR229C,0.850674373795761,0.6679438058748404,0.60625814863103
12058,0.8050847457627118,YMR229C,,0.6433566433566433,0.5772151898734177
12060,0.5524044389642416,YMR235C,0.5314637482900136,0.406351263771873,0.3375527426160337
12063,0.9291666666666668,YMR239C,0.9054545454545454,0.8555776892430279,0.8097050428163654
12064,0.7261904761904762,YMR240C,0.631578947368421,0.5714285714285714,0.6083333333333333
12068,0.7964034177466717,YMR242C,0.7909487055338783,0.6851157785364406,0.6338521124258253
12069,0.6427145708582834,YMR243C,0.6483936194113682,0.4873260437375746,0.43838801343322137
12070,0.6870588235294117,YMR244C-A,0.674074074074074,0.6197478991596639,0.5882352941176471
12071,0.7445255474452555,YMR244C-A,,0.5547945205479452,0.4926470588235294
12072,0.4819277108433735,YMR244C-A,0.4933333333333334,0.3618677042801556,0.29844961240310075
12080,0.8036363636363636,YMR247C,0.8203883495145631,0.7557603686635944,0.7078651685393258
12084,0.4976076555023923,YMR252C,0.572289156626506,0.3932926829268293,0.3311688311688312
12085,0.815028901734104,YMR253C,0.8571428571428571,0.7616279069767442,0.772020725388601
12086,0.6832752613240418,YMR256C,0.6758465011286682,0.5808736717827627,0.5414291977202981
12087,0.8109589041095892,YMR257C,0.7885304659498208,0.6530172413793104,0.5477707006369427
12088,0.6683250414593698,YMR258C,0.7029520295202952,0.5430879712746858,0.4986784140969163
12089,0.7342105263157894,YMR259C,0.7335766423357665,0.7281879194630873,0.6701030927835051
12090,0.7163306141295983,YMR260C,0.7093841903573657,0.5859606575047157,0.5358974358974359
12091,0.6507042253521127,YMR261C,0.6730769230769231,0.4912935323383085,0.3896424167694205
12092,0.6761565836298933,YMR265C,0.7363636363636363,0.6019417475728155,0.4541666666666666
12096,0.6554054054054054,YMR270C,0.5806451612903226,0.4563380281690141,0.4401041666666667
12100,0.7909604519774012,YMR271C,0.7928994082840237,0.6159554730983302,0.5970464135021097
12102,0.8018104776579353,YMR272C,0.8060417166147207,0.7169858555513832,0.6846670739156995
12103,0.6872727272727273,YMR273C,0.6534653465346535,0.5387453874538746,0.5461393596986818
12104,0.7534818941504178,YMR274C,0.7482394366197183,0.5687331536388139,0.4705882352941176
