ID,wt1,Assigned_gene_name,wt2,dhh1_1,dhh1_2
3383,0.8088235294117647,YHR204W,0.792,,
3384,0.4745454545454546,YHR204W,0.4607843137254902,0.21495327102803727,0.15451895043731778
3386,0.6412037037037037,YHR205W,0.5952380952380952,0.4227467811158798,0.31630434782608696
3388,0.4194560669456067,YHR206W,0.4197368421052631,0.2279069767441861,0.11434108527131782
3390,0.532549504950495,YHR208W,0.5438149025323374,0.3177611282503305,0.2723004694835681
3403,0.5580204778156996,YHR216W,0.5749063670411985,0.2357142857142857,0.15246636771300448
3404,0.76,YHR216W,0.7427007299270073,0.4397321428571429,0.3492462311557789
3408,0.8429423459244533,YJL217W,0.8042763157894737,0.6865671641791045,0.5712971481140754
3411,0.8238095238095238,YJL213W,0.8454106280193237,0.5923566878980892,0.4540540540540541
3412,0.751131221719457,YJL210W,0.7194337194337195,0.455012853470437,0.3194444444444444
3415,0.7859531772575251,YJL209W,0.7782805429864253,0.6884735202492211,0.6959064327485379
3419,0.76,YJL203W,0.7454545454545455,0.3892045454545455,0.2861271676300578
3420,0.4625850340136055,YJL201W,0.4298642533936652,0.31070496083550914,0.19727891156462585
3423,0.5706051873198847,YJL198W,0.5576923076923077,0.3358348968105065,0.2594995366079703
3425,0.6700767263427111,YJL197W,0.5602836879432624,0.4325581395348837,0.35074626865671643
3428,0.8885135135135135,YJL194W,0.8828451882845189,0.6833667334669339,0.4847396768402154
3430,0.7076591154261057,YJL193W,0.7001455604075691,0.6545454545454545,0.5426731078904992
3431,0.8368844439613001,YJL191W,0.8340271170313986,0.5841903109899641,0.4393165883874481
3433,0.6705812338821663,YJL189W,0.6393487331933346,0.3611050208287656,0.21012416427889208
3436,0.7533664068036854,YJL186W,0.753731343283582,0.4169435215946844,0.3150837988826816
3440,0.8992395437262357,YJL184W,0.8819277108433735,0.7482837528604119,0.615604186489058
3441,0.8906020558002937,YJL183W,0.8949771689497716,0.7659574468085106,0.6994047619047619
3444,0.4976569821930647,YJL179W,0.4833333333333333,0.22904564315352696,0.1527317880794702
3446,0.8377108332634052,YJL177W,0.832323428183625,0.601095332102146,0.4588191647233411
3449,0.8003921568627451,YJL174W,0.7997047244094488,0.6110130603600423,0.4594594594594595
3451,0.7206521739130435,YJL172W,0.7333602258975394,0.4396617986164489,0.3069826626371879
3456,0.8686497326203209,YJL167W,0.8735840507476212,0.7163720215219063,0.5510688836104513
3458,0.9009287925696594,YJL166W,0.893141592920354,0.7847240387130526,0.7137339590514556
3467,0.5513810099507114,YJL159W,0.5558028813454523,0.23665510532103884,0.1493586047852407
3479,0.4081632653061225,YJL149W,0.3663366336633663,0.1736842105263158,0.09734513274336284
3480,0.8853652196516766,YJL148W,0.8899824253075571,0.6678073177151882,0.5483641536273115
3483,0.427536231884058,YJL146W,0.3515625,0.2818991097922849,0.2420814479638009
3484,0.9485627836611196,YJL145W,0.9444444444444444,0.9191919191919192,0.8791666666666667
3486,0.6160024714241582,YJL143W,0.5800285816362987,0.2530045262993601,0.16159434517965834
3488,0.2927435387673956,YJL140W,0.3166180758017493,0.13474320241691842,0.0821256038647343
3495,0.8727272727272727,YJL134W,0.8740601503759399,0.6459770114942529,0.5191387559808612
3496,0.5450081833060556,YJL133W,0.5786026200873362,0.3468085106382979,0.28471001757469244
3505,0.773972602739726,YJL126W,0.7253521126760564,0.5625,0.3679245283018868
3509,0.6418410041841004,YJL122W,0.625,0.5246224556795798,0.4644373673036094
3510,0.6342494714587738,YJL118W,0.5391304347826087,0.42268041237113396,0.4152744630071599
3512,0.6851549755301795,YJL117W,0.6776315789473685,0.4529801324503312,0.3753180661577608
3517,0.7445887445887446,YJL115W,0.6978021978021978,0.5018450184501845,0.32976827094474154
3525,0.8165137614678899,YJL112W,0.8108108108108109,0.6530612244897959,0.5458515283842795
3527,0.8991981672394044,YJL111W,0.9144385026737968,0.8026640355204736,0.7409523809523809
3534,0.7612962117754449,YJL104W,0.7956469165659008,0.5169632265717675,0.4099216710182768
