ID,cap,uncap,wt1,Assigned_gene_name
376,92,28,0.7666666666666667,YBR131W
377,5,2,0.7142857142857143,YBR135W
378,702,349,0.6679352997145576,YBR135W
379,134,65,0.6733668341708543,YBR136W
381,1014,61,0.9432558139534885,YBR137W
384,1651,186,0.8987479586281981,YBR139W
385,93,27,0.775,YBR141W-A
386,185,253,0.4223744292237443,YBR142W
388,154,115,0.5724907063197026,YBR145W
390,562,860,0.3952180028129395,YBR146W
392,31,6,0.8378378378378378,YBR147W
393,697,525,0.5703764320785597,YBR149W
394,903,362,0.7138339920948616,YBR151W
396,11,24,0.3142857142857143,YBR152W
398,155,51,0.7524271844660194,YBR153W
400,487,169,0.7423780487804879,YBR155W
406,9,6,0.6,YBR158W
407,993,126,0.8873994638069705,YBR158W
408,1908,773,0.7116747482282729,YBR159W
409,324,298,0.5209003215434084,YBR160W
410,162,83,0.6612244897959184,YBR161W
412,45,1,0.9782608695652174,YBR162W-A
413,103,46,0.6912751677852349,YBR162W-A
414,5883,644,0.9013329247740156,YBR162W-A
415,192,171,0.5289256198347108,YBR163W
416,20,10,0.6666666666666666,YBR163W
418,260,62,0.8074534161490683,YBR165W
419,7,2,0.7777777777777778,YBR165W
421,39,3,0.9285714285714286,YBR168W
422,4,3,0.5714285714285714,YBR168W
423,2,7,0.2222222222222222,YBR168W
424,98,33,0.7480916030534351,YBR168W
425,49,10,0.8305084745762712,YBR168W
426,545,458,0.543369890329013,YBR171W
428,80,11,0.8791208791208791,YBR175W
429,181,82,0.6882129277566539,YBR175W
431,107,24,0.816793893129771,YBR176W
432,6,0,1.0,YBR178W
435,4,5,0.4444444444444444,YBR183W
436,622,82,0.8835227272727273,YBR183W
437,8,4,0.6666666666666666,YBR184W
440,1696,593,0.7409349060725208,YBR187W
441,21731,13096,0.6239699084043989,YBR189W
443,14,4,0.7777777777777778,YBR191W
444,24625,14789,0.624777997665804,YBR191W
445,2,102,0.019230769230769232,YBR191W-A
446,181,26,0.8743961352657005,YBR192W
447,115,102,0.5299539170506913,YBR194W
448,30,1,0.967741935483871,YBR194W
454,875,319,0.7328308207705193,YBR199W
455,241,128,0.6531165311653117,YBR200W
456,130,104,0.5555555555555556,YBR201W
458,187,139,0.5736196319018405,YBR202W
460,37,6,0.8604651162790697,YBR203W
461,15,6,0.7142857142857143,YBR203W
464,1699,216,0.8872062663185378,YBR205W
465,325,349,0.4821958456973294,YBR207W
468,161,60,0.7285067873303167,YBR210W
469,811,152,0.8421599169262719,YBR210W
471,136,50,0.7311827956989247,YBR212W
472,60,22,0.7317073170731707,YBR213W
473,649,92,0.8758434547908233,YBR214W
474,111,18,0.8604651162790697,YBR215W
476,158,12,0.9294117647058824,YBR217W
478,77,12,0.8651685393258427,YBR225W
479,15,7,0.6818181818181818,YBR228W
480,50,44,0.5319148936170213,YBR228W
482,21,169,0.11052631578947368,YBR230W-A
483,49,12,0.8032786885245902,YBR233W
484,471,457,0.5075431034482759,YBR233W-A
485,587,131,0.8175487465181058,YBR235W
486,30,97,0.2362204724409449,YBR237W
489,3,1,0.75,YBR242W
491,380,357,0.5156037991858887,YBR242W
492,8,1,0.8888888888888888,YBR242W
493,9,22,0.2903225806451613,YBR244W
494,360,127,0.7392197125256673,YBR244W
495,202,150,0.5738636363636364,YBR246W
497,8,5,0.6153846153846154,YBR250W
499,278,94,0.7473118279569892,YBR251W
500,3480,329,0.9136256235232344,YBR252W
501,1,0,1.0,YBR253W
502,514,187,0.7332382310984308,YBR253W
503,73,90,0.4478527607361963,YBR255W
506,3,0,1.0,YBR257W
