ID,s1,s2
794,0.728481849,0.713392344
795,0.728841046,0.713391862
796,0.728815763,0.713371438
797,0.730749343,0.715563658
806,0.730740568,0.715572526
809,0.730740533,0.71557299
810,0.730615831,0.715435541
818,0.730615656,0.716826098
826,0.731728085,0.71605612
827,0.731727908,0.716069218
828,0.730842165,0.716073502
829,0.730861502,0.716079156
830,0.73085963,0.716077851
831,0.730871761,0.716111771
832,0.73086189,0.716111651
835,0.730902186,0.716106239
836,0.730898409,0.716083931
839,0.730893927,0.716089373
840,0.730818676,0.715971008
841,0.73081272,0.715969246
842,0.730667685,0.71459056
845,0.730656205,0.687096044
847,0.729410255,0.687028115
849,0.696789446,0.687051678
852,0.696700951,0.686895654
854,0.696717654,0.687086137
855,0.696570922,0.687086656
856,0.696811335,0.6870755
857,0.696803042,0.687065543
858,0.696792978,0.687036076
861,0.696770464,0.687000404
862,0.696750368,0.687024585
863,0.696715279,0.687018256
864,0.696724601,0.68695374
865,0.696715127,0.686955965
866,0.696633314,0.68686698
867,0.696630557,0.686864657
868,0.696522095,0.686884561
871,0.696522572,0.686844243
872,0.696524814,0.686845264
873,0.696524267,0.686900694
875,0.696483515,0.686835826
876,0.696483852,0.686834836
877,0.696535697,0.686968667
880,0.696438802,0.686986448
882,0.696437638,0.686954367
883,0.696534845,0.686952479
884,0.69655221,0.686951951
887,0.696535262,0.686958461
889,0.696512406,0.685063769
891,0.696513689,0.679203328
896,0.696526165,0.679197566
897,0.694631227,0.679198387
898,0.68786387,0.679202797
900,0.687855458,0.679183687
901,0.687856415,0.67926812
902,0.687864521,0.679392174
904,0.687849283,0.683785365
906,0.687923412,0.683782112
907,0.688072869,0.683785431
909,0.692791247,0.683783896
910,0.692774514,0.683775297
913,0.692801535,0.68378015
914,0.69279969,0.682862525
917,0.692787275,0.682851337
918,0.692787371,0.682905777
920,0.691873355,0.682906616
921,0.691860789,0.68283708
922,0.691893432,0.6828208
923,0.6918941,0.682838703
925,0.691835591,0.682849752
926,0.691816018,0.682869735
927,0.691822105,0.682866809
928,0.691836506,0.682872736
929,0.69184553,0.682800037
931,0.691844623,0.682838056
932,0.691850966,0.682847222
937,0.691780832,0.682846579
938,0.69180951,0.682846152
940,0.691822593,0.682867569
941,0.691823205,0.68284038
942,0.691831604,0.682821988
943,0.691856485,0.682770169
946,0.691812903,0.682339912
949,0.691797629,0.682315018
950,0.691749867,0.682305256
